Idx,ActionNr,Rescued
1,110,1
2,122,2
3,219,3
4,254,4
5,352,5
6,387,6
7,495,7
8,530,8
9,623,9
10,656,10
11,736,11
12,772,12
13,865,13
14,899,14
15,1004,15
16,1038,16
17,1131,17
18,1163,18
19,1256,19
20,1275,20
21,1287,21
22,1298,22
23,1373,23
24,1407,24
25,1500,25
26,1522,26
27,1534,27
28,1629,28
29,1663,29
30,1766,30
31,1800,31
32,1815,32
33,1891,33
34,2002,34
35,2017,35
36,2029,36
37,2038,37
38,2126,38
39,2141,39
40,2153,40
41,2162,41
42,2251,42
43,2278,43
44,2290,44
45,2300,45
46,2364,46
47,2379,47
48,2396,48
49,2405,49
50,2481,50
51,2497,51
52,2511,52
53,2520,53
54,2593,54
55,2607,55
56,2619,56
57,2628,57
58,2703,58
59,2717,59
60,2729,60
61,2738,61
62,2802,62
63,2824,63
64,2833,64
65,2895,65
66,2915,66
67,2972,67
68,2992,68
69,3028,69
70,3084,70
71,3104,71
72,3199,72
73,3279,73
74,3299,74
75,3368,75
76,3388,76
77,3469,77
78,3489,78
79,3571,79
80,3592,80
81,3690,81
82,3705,82
83,3797,83
84,3874,84
85,3909,85
86,4116,86
87,4234,87
88,4345,88
89,4357,89
90,4366,90
91,4469,91
92,4479,92
93,4589,93
94,4688,94
95,4793,95
96,4997,96
97,5022,97
98,5129,98
99,5357,99
100,5483,100
101,5592,101
102,6049,102
103,6062,103
104,6167,104
105,6176,105
106,6284,106
107,6362,107
108,6382,108
109,6391,109
110,6487,110
111,6573,111
112,6599,112
113,6696,113
114,6760,114
115,6785,115
116,6881,116
117,6956,117
118,6993,118
119,7056,119
120,7093,120
121,7155,121
122,7169,122
123,7181,123
124,7203,124
125,7275,125
126,7300,126
127,7322,127
128,7374,128
129,7406,129
130,7421,130
131,7443,131
132,7514,132
133,7529,133
134,7551,134
135,7626,135
136,7646,136
137,7668,137
138,7731,138
139,7745,139
140,7776,140
141,7839,141
142,7853,142
143,7865,143
144,7950,144
145,7964,145
146,8106,146
147,8248,147
148,8311,148
149,8457,149
150,8576,150
151,8703,151
152,8752,152
153,8809,153
154,8923,154
155,9041,155
156,9099,156
157,9163,157
158,9233,158
159,9297,159
160,9357,160
161,9421,161
162,9540,162
163,9648,163
164,9712,164
165,9748,165
166,10142,166
167,10291,167
168,10327,168
169,10434,169
170,10540,170
171,10633,171
172,10739,172
173,10849,173
174,10930,174
175,11036,175
176,11142,176
177,11225,177
178,11305,178
179,11318,179
180,11398,180
181,11488,181
182,11594,182
183,11686,183
184,11875,184
185,11963,185
186,12052,186
187,12140,187
188,12229,188
189,12318,189
190,12337,190
191,12426,191
192,12511,192
193,12613,193
194,12724,194
195,12740,195
196,12826,196
197,12900,197
198,12916,198
199,12993,199
200,13009,200
201,13084,201
202,13098,202
203,13186,203
204,13284,204
205,13382,205
206,13471,206
207,13561,207
208,13650,208
209,13750,209
210,13850,210
211,13941,211
212,14041,212
213,14140,213
214,14252,214
215,14350,215
216,14439,216
217,14527,217
218,14616,218
219,14889,219
220,15574,220
221,15687,221
222,15801,222
223,15913,223
224,16027,224
225,16139,225
226,16240,226
227,16281,227
228,16344,228
229,16443,229
230,16509,230
231,16531,231
232,16628,232
233,16727,233
234,16767,234
235,16826,235
236,16925,236
237,16956,237
238,17057,238
239,17119,239
240,17166,240
241,17230,241
242,17264,242
243,17339,243
244,17361,244
245,17376,245
246,17408,246
247,17431,247
248,17464,248
249,17474,249
250,17495,250
251,17547,251
252,17567,252
253,17589,253
254,17623,254
255,17764,255
256,17826,256
257,17860,257
258,17966,258
259,18062,259
260,18165,260
261,18195,261
262,18231,262
263,18242,263
264,18258,264
265,18325,265
266,18345,266
267,18398,267
268,18418,268
269,18480,269
270,18537,270
271,18574,271
272,18621,272
273,18670,273
274,18714,274
275,18752,275
276,18798,276
277,18860,277
278,18906,278
279,18969,279
280,19082,280
281,19186,281
282,19231,282
283,19283,283
284,19828,284
285,20038,285
286,20067,286
287,21055,287
288,21151,288
289,21257,289
290,21351,290
291,21436,291
292,21530,292
293,21620,293
294,21710,294
295,21804,295
296,21878,296
297,21893,297
298,21988,298
299,22179,299
300,22270,300
301,22291,301
302,22366,302
303,22396,303
304,22467,304
305,22491,305
306,22551,306
307,22581,307
308,22652,308
309,22690,309
310,22750,310
311,22775,311
312,22846,312
313,22875,313
314,22944,314
315,22972,315
316,23028,316
317,23053,317
318,23122,318
319,23146,319
320,23206,320
321,23232,321
322,23302,322
323,23326,323
324,23394,324
325,23418,325
326,23516,326
327,23615,327
328,23715,328
329,23814,329
330,23829,330
331,23900,331
332,23907,332
333,23914,333
334,23989,334
335,24093,335
336,24101,336
337,24173,337
338,24181,338
339,24253,339
340,24261,340
341,24339,341
342,24347,342
343,24426,343
344,24434,344
345,24522,345
346,24530,346
347,24619,347
348,24708,348
349,24715,349
350,24723,350
351,24809,351
352,24816,352
353,24824,353
354,24909,354
355,24917,355
356,25013,356
357,25020,357
358,25028,358
359,25113,359
360,25120,360
361,25128,361
362,25223,362
363,25230,363
364,25238,364
365,25293,365
366,25318,366
367,25325,367
368,25333,368
369,25415,369
370,25424,370
371,25432,371
372,25505,372
373,25512,373
374,25609,374
375,25616,375
376,25624,376
377,25697,377
378,25704,378
379,25792,379
380,25799,380
381,25806,381
382,25865,382
383,25888,383
384,25895,384
385,25902,385
386,25955,386
387,25978,387
388,25986,388
389,25993,389
390,26035,390
391,26058,391
392,26065,392
393,26074,393
394,26157,394
395,26164,395
396,26171,396
397,26252,397
398,26261,398
399,26268,399
400,26340,400
401,26427,401
402,26434,402
403,26489,403
404,26512,404
405,26519,405
406,26603,406
407,26610,407
408,26695,408
409,26702,409
410,26786,410
411,26793,411
412,26876,412
413,26883,413
414,26965,414
415,26972,415
416,27006,416
417,27020,417
418,27039,418
419,27046,419
420,27080,420
421,27094,421
422,27113,422
423,27121,423
424,27156,424
425,27170,425
426,27189,426
427,27198,427
428,27233,428
429,27275,429
430,27282,430
431,27315,431
432,27355,432
433,27362,433
434,27394,434
435,27408,435
436,27427,436
437,27434,437
438,27468,438
439,27482,439
440,27504,440
441,27538,441
442,27553,442
443,27576,443
444,27608,444
445,27633,445
446,27655,446
447,27698,447
448,27791,448
449,27815,449
450,27878,450
451,27885,451
452,27896,452
453,27920,453
454,27954,454
455,27961,455
456,27972,456
457,27994,457
458,28029,458
459,28036,459
460,28047,460
461,28070,461
462,28106,462
463,28113,463
464,28124,464
465,28147,465
466,28183,466
467,28190,467
468,28199,468
469,28222,469
470,28270,470
471,28277,471
472,28287,472
473,28359,473
474,28366,474
475,28377,475
476,28401,476
477,28446,477
478,28472,478
479,28497,479
480,28556,480
481,28581,481
482,28606,482
483,28667,483
484,28694,484
485,28719,485
486,28779,486
487,28806,487
488,28831,488
489,28925,489
490,28950,490
491,29029,491
492,29055,492
493,29135,493
494,29160,494
495,29251,495
496,29276,496
497,29353,497
498,29377,498
499,29486,499
500,29493,500
501,29547,501
502,29570,502
503,29577,503
504,29645,504
505,29669,505
506,29678,506
507,29714,507
508,29738,508
509,29762,509
510,29769,510
511,29834,511
512,29858,512
513,29865,513
514,29932,514
515,29983,515
516,30050,516
517,30088,517
518,30155,518
519,30183,519
520,30190,520
521,30258,521
522,30295,522
523,30362,523
524,30384,524
525,30391,525
526,30434,526
527,30458,527
528,30483,528
529,30517,529
530,30541,530
531,30566,531
532,30601,532
533,30625,533
534,30650,534
535,30697,535
536,30721,536
537,30747,537
538,30794,538
539,30818,539
540,30901,540
541,30925,541
542,30954,542
543,31001,543
544,31018,544
545,31042,545
546,31069,546
547,31116,547
548,31134,548
549,31158,549
550,31185,550
551,31222,551
552,31239,552
553,31263,553
554,31299,554
555,31346,555
556,31381,556
557,31417,557
558,31464,558
559,31512,559
560,31548,560
561,31595,561
562,31653,562
563,31691,563
564,31739,564
565,31775,565
566,31808,566
567,31815,567
568,31863,568
569,31891,569
570,31915,570
571,31948,571
572,31956,572
573,32082,573
574,32103,574
575,32110,575
576,32153,576
577,32180,577
578,32204,578
579,32235,579
580,32242,580
581,32277,581
582,32304,582
583,32328,583
584,32422,584
585,32449,585
586,32473,586
587,32556,587
588,32572,588
589,32596,589
590,32679,590
591,32686,591
592,32702,592
593,32726,593
594,32809,594
595,32825,595
596,32849,596
597,32890,597
598,32903,598
599,32943,599
600,32960,600
601,32984,601
602,33017,602
603,33024,603
604,33064,604
605,33081,605
606,33105,606
607,33138,607
608,33145,608
609,33185,609
610,33202,610
611,33226,611
612,33259,612
613,33266,613
614,33306,614
615,33323,615
616,33347,616
617,33367,617
618,33374,618
619,33416,619
620,33433,620
621,33457,621
622,33479,622
623,33516,623
624,33533,624
625,33557,625
626,33581,626
627,33621,627
628,33637,628
629,33661,629
630,33684,630
631,33734,631
632,33753,632
633,33777,633
634,33846,634
635,33861,635
636,33885,636
637,33908,637
638,33958,638
639,33973,639
640,34015,640
641,34055,641
642,34134,642
643,34174,643
644,34191,644
645,34258,645
646,34298,646
647,34315,647
648,34339,648
649,34387,649
650,34429,650
651,34458,651
652,34482,652
653,34530,653
654,34559,654
655,34576,655
656,34600,656
657,34646,657
658,34653,658
659,34679,659
660,34696,660
661,34708,661
662,34718,662
663,34764,663
664,34771,664
665,34811,665
666,34828,666
667,34872,667
668,34898,668
669,34905,669
670,34958,670
671,34984,671
672,34996,672
673,35022,673
674,35029,674
675,35069,675
676,35107,676
677,35119,677
678,35136,678
679,35143,679
680,35199,680
681,35211,681
682,35230,682
683,35270,683
684,35287,684
685,35314,685
686,35326,686
687,35345,687
688,35383,688
689,35400,689
690,35415,690
691,35452,691
692,35489,692
693,35506,693
