Idx,ActionNr,Rescued
1,66855.0000,1.2000
2,133710.0000,6.4000
3,200564.0000,16.8000
4,267419.0000,30.2000
5,334274.0000,39.0000
6,401129.0000,52.0000
7,467984.0000,65.4000
8,534838.0000,78.6000
9,601693.0000,90.0000
10,668548.0000,103.0000
11,735403.0000,118.6000
12,802258.0000,133.6000
13,869112.0000,147.6000
14,935967.0000,163.6000
15,1002822.0000,185.8000
16,1069677.0000,210.8000
17,1136532.0000,247.8000
18,1203386.0000,299.2000
19,1270241.0000,356.8000
20,1337096.0000,406.0000
21,1403951.0000,461.8000
22,1470806.0000,531.2000
23,1537661.0000,603.4000
24,1604515.0000,671.0000
25,1671370.0000,739.8000
26,1738225.0000,823.8000
27,1805080.0000,911.4000
28,1871935.0000,1021.2000
29,1938789.0000,1141.0000
30,2005644.0000,1258.6000
31,2072499.0000,1399.6000
32,2139354.0000,1544.8000
33,2206209.0000,1708.2000
34,2273063.0000,1868.6000
35,2339918.0000,2042.2000
36,2406773.0000,2203.6000
37,2473628.0000,2368.4000
38,2540483.0000,2559.6000
39,2607337.0000,2749.8000
40,2674192.0000,2955.6000
41,2741047.0000,3171.2000
42,2807902.0000,3415.0000
43,2874757.0000,3658.6000
44,2941611.0000,3884.8000
45,3008466.0000,4141.0000
46,3075321.0000,4423.4000
47,3142176.0000,4705.0000
48,3209031.0000,4984.6000
49,3275885.0000,5247.6000
50,3342740.0000,5504.2000
51,3409595.0000,5808.0000
52,3476450.0000,6082.6000
53,3543305.0000,6392.2000
54,3610159.0000,6721.0000
55,3677014.0000,7061.6000
56,3743869.0000,7404.8000
57,3810724.0000,7758.6000
58,3877579.0000,8128.0000
59,3944433.0000,8498.4000
60,4011288.0000,8877.4000
61,4078143.0000,9278.8000
62,4144998.0000,9653.0000
63,4211853.0000,10036.2000
64,4278708.0000,10442.6000
65,4345562.0000,10845.2000
66,4412417.0000,11302.8000
67,4479272.0000,11772.4000
68,4546127.0000,12223.4000
69,4612982.0000,12667.6000
70,4679836.0000,13171.2000
71,4746691.0000,13669.8000
72,4813546.0000,14183.4000
73,4880401.0000,14732.6000
74,4947256.0000,15257.4000
75,5014110.0000,15793.6000
76,5080965.0000,16349.2000
77,5147820.0000,16912.0000
78,5214675.0000,17497.4000
79,5281530.0000,18108.8000
80,5348384.0000,18755.6000
81,5415239.0000,19413.0000
82,5482094.0000,20049.0000
83,5548949.0000,20671.2000
84,5615804.0000,21304.6000
85,5682658.0000,21926.0000
86,5749513.0000,22587.2000
87,5816368.0000,23186.0000
88,5883223.0000,23854.2000
89,5950078.0000,24523.8000
90,6016932.0000,25186.0000
91,6083787.0000,25860.2000
92,6150642.0000,26564.6000
93,6217497.0000,27281.4000
94,6284352.0000,28033.4000
95,6351206.0000,28791.4000
96,6418061.0000,29499.0000
97,6484916.0000,30247.8000
98,6551771.0000,31010.8000
99,6618626.0000,31694.8000
100,6685480.0000,32410.4000
101,6752335.0000,33194.4000
102,6819190.0000,34011.8000
103,6886045.0000,34891.6000
104,6952900.0000,35748.0000
105,7019755.0000,36549.6000
106,7086609.0000,37397.0000
107,7153464.0000,38267.2000
108,7220319.0000,39116.0000
109,7287174.0000,40019.8000
110,7354029.0000,40921.0000
111,7420883.0000,41809.8000
112,7487738.0000,42688.2000
113,7554593.0000,43546.2000
114,7621448.0000,44430.6000
115,7688303.0000,45341.2000
116,7755157.0000,46209.6000
117,7822012.0000,47109.4000
118,7888867.0000,48094.6000
119,7955722.0000,49109.2000
120,8022577.0000,50084.6000
121,8089431.0000,51117.6000
122,8156286.0000,52142.2000
123,8223141.0000,53123.8000
124,8289996.0000,54117.6000
125,8356851.0000,55136.4000
126,8423705.0000,56144.4000
127,8490560.0000,57239.4000
128,8557415.0000,58297.6000
129,8624270.0000,59341.2000
130,8691125.0000,60427.0000
131,8757979.0000,61430.2000
132,8824834.0000,62522.2000
133,8891689.0000,63587.0000
134,8958544.0000,64664.8000
135,9025399.0000,65728.4000
136,9092253.0000,66850.2000
137,9159108.0000,67946.2000
138,9225963.0000,69061.4000
139,9292818.0000,70127.8000
140,9359673.0000,71195.6000
141,9426528.0000,72277.2000
142,9493382.0000,73375.0000
143,9560237.0000,74504.4000
144,9627092.0000,75571.0000
145,9693947.0000,76650.8000
146,9760802.0000,77735.8000
147,9827656.0000,78783.4000
148,9894511.0000,79901.0000
149,9961366.0000,81016.6000
150,10028221.0000,82053.8000
151,10095076.0000,83070.4000
152,10161930.0000,84130.8000
153,10228785.0000,85222.0000
154,10295640.0000,86396.4000
155,10362495.0000,87575.0000
156,10429350.0000,88718.8000
157,10496204.0000,89823.0000
158,10563059.0000,90891.6000
159,10629914.0000,91932.4000
160,10696769.0000,93075.6000
161,10763624.0000,94141.6000
162,10830478.0000,95237.6000
163,10897333.0000,96384.4000
164,10964188.0000,97499.4000
165,11031043.0000,98627.6000
166,11097898.0000,99663.4000
167,11164752.0000,100757.6000
168,11231607.0000,101874.0000
169,11298462.0000,102959.2000
170,11365317.0000,104046.6000
171,11432172.0000,105159.8000
172,11499026.0000,106200.2000
173,11565881.0000,107261.4000
174,11632736.0000,108347.6000
175,11699591.0000,109396.4000
176,11766446.0000,110485.4000
177,11833300.0000,111519.2000
178,11900155.0000,112634.8000
179,11967010.0000,113773.6000
180,12033865.0000,114851.2000
181,12100720.0000,116004.4000
182,12167575.0000,117073.0000
183,12234429.0000,118162.4000
184,12301284.0000,119270.0000
185,12368139.0000,120398.0000
186,12434994.0000,121482.4000
187,12501849.0000,122639.0000
188,12568703.0000,123749.0000
189,12635558.0000,124913.4000
190,12702413.0000,126070.2000
191,12769268.0000,127158.2000
192,12836123.0000,128248.8000
193,12902977.0000,129362.6000
194,12969832.0000,130516.8000
195,13036687.0000,131636.8000
196,13103542.0000,132708.4000
197,13170397.0000,133820.8000
198,13237251.0000,134585.8000
199,13304106.0000,134956.8000
200,13370961.0000,135168.0000
