EpisodeNr,RescuedRatio,TornsRatio,BoredomRatio,TimeInActions,TotalReward
1,0.0000,0.0000,1.0000,7857.0000,-15677.0000
2,0.0000,0.0000,1.0000,7791.0000,-15611.0000
3,0.0000,0.0000,1.0000,7797.3333,-15617.3333
4,0.0000,0.0000,1.0000,7750.2500,-15570.2500
5,0.0000,0.0000,1.0000,7765.2000,-15585.2000
6,0.0000,0.0000,1.0000,7780.8333,-15600.8333
7,0.0000,0.0000,1.0000,7782.4286,-15602.4286
8,0.0000,0.0000,1.0000,7754.6250,-15574.6250
9,0.0000,0.0000,1.0000,7749.6667,-15569.6667
10,0.0000,0.0000,1.0000,7748.6000,-15568.6000
11,0.0000,0.0000,1.0000,7744.2727,-15564.2727
12,0.0000,0.0000,1.0000,7759.3333,-15579.3333
13,0.0000,0.0000,1.0000,7763.6923,-15583.6923
14,0.0000,0.0000,1.0000,7753.0714,-15573.0714
15,0.0000,0.0000,1.0000,7760.0000,-15580.0000
16,0.0000,0.0104,0.9896,7769.5000,-15589.5000
17,0.0000,0.0098,0.9902,7760.5882,-15580.5882
18,0.0000,0.0093,0.9907,7765.9444,-15585.9444
19,0.0000,0.0088,0.9912,7767.6842,-15587.6842
20,0.0000,0.0083,0.9917,7755.5000,-15575.5000
21,0.0000,0.0079,0.9921,7743.3810,-15563.3810
22,0.0000,0.0076,0.9924,7734.3636,-15554.3636
23,0.0000,0.0145,0.9855,7728.7391,-15548.7391
24,0.0000,0.0139,0.9861,7730.0417,-15550.0417
25,0.0000,0.0133,0.9867,7715.1200,-15535.1200
26,0.0000,0.0133,0.9867,7703.4000,-15523.4000
27,0.0000,0.0133,0.9867,7696.7200,-15516.7200
28,0.0000,0.0133,0.9867,7683.3600,-15503.3600
29,0.0000,0.0133,0.9867,7680.6800,-15500.6800
30,0.0000,0.0133,0.9867,7665.8800,-15485.8800
31,0.0000,0.0133,0.9867,7651.7600,-15471.7600
32,0.0000,0.0133,0.9867,7650.4800,-15470.4800
33,0.0000,0.0133,0.9867,7645.8800,-15465.8800
34,0.0000,0.0133,0.9867,7634.8400,-15454.8400
35,0.0000,0.0133,0.9867,7626.4800,-15446.4800
36,0.0000,0.0133,0.9867,7618.8400,-15438.8400
37,0.0000,0.0133,0.9867,7609.8400,-15429.8400
38,0.0000,0.0133,0.9867,7598.2000,-15418.2000
39,0.0000,0.0133,0.9867,7594.7200,-15414.7200
40,0.0000,0.0200,0.9800,7579.5600,-15399.5600
41,0.0000,0.0133,0.9867,7562.4400,-15382.4400
42,0.0000,0.0133,0.9867,7558.4800,-15378.4800
43,0.0000,0.0133,0.9867,7541.5600,-15361.5600
44,0.0000,0.0200,0.9800,7533.4400,-15353.4400
45,0.0000,0.0200,0.9800,7541.1600,-15361.1600
46,0.0000,0.0200,0.9800,7535.0400,-15355.0400
47,0.0000,0.0200,0.9800,7523.7200,-15343.7200
48,0.0000,0.0200,0.9800,7517.4400,-15337.4400
49,0.0000,0.0267,0.9733,7507.6000,-15327.9200
50,0.0000,0.0333,0.9667,7509.3200,-15329.6400
51,0.0000,0.0333,0.9667,7502.4800,-15322.8000
52,0.0000,0.0333,0.9667,7498.0800,-15318.4000
53,0.0000,0.0333,0.9667,7499.4800,-15319.8000
54,0.0000,0.0333,0.9667,7497.7600,-15318.0800
55,0.0000,0.0333,0.9667,7499.4400,-15319.7600
56,0.0000,0.0333,0.9667,7502.1200,-15322.4400
57,0.0000,0.0333,0.9667,7499.3600,-15319.6800
58,0.0000,0.0333,0.9667,7517.5600,-15337.8800
59,0.0000,0.0467,0.9533,7513.4400,-15333.7600
60,0.0000,0.0467,0.9533,7513.7600,-15334.0800
61,0.0000,0.0600,0.9400,7522.4800,-15342.9200
62,0.0000,0.0667,0.9333,7507.9600,-15328.4000
63,0.0000,0.0667,0.9333,7511.5600,-15332.0000
64,0.0000,0.0667,0.9333,7513.4800,-15333.9200
65,0.0000,0.0667,0.9333,7525.0400,-15348.4400
66,0.0000,0.0667,0.9333,7528.4800,-15351.8800
67,0.0000,0.0733,0.9267,7528.3200,-15345.3200
68,0.0000,0.0800,0.9200,7528.2400,-15345.2400
69,0.0000,0.0800,0.9200,7528.1200,-15345.1200
70,0.0000,0.0867,0.9133,7517.7600,-15334.7600
71,0.0000,0.1000,0.9000,7518.2000,-15336.7600
72,0.0000,0.1000,0.9000,7525.2000,-15343.7600
73,0.0000,0.1000,0.9000,7513.3600,-15331.9200
74,0.0000,0.1000,0.9000,7512.6400,-15330.8800
75,0.0000,0.1000,0.9000,7513.3600,-15331.6000
76,0.0000,0.1133,0.8867,7506.3600,-15325.1200
77,0.0000,0.1200,0.8800,7502.7600,-15321.5200
78,0.0000,0.1200,0.8800,7510.8800,-15329.6400
79,0.0000,0.1267,0.8733,7510.2000,-15328.9600
80,0.0000,0.1333,0.8667,7502.8000,-15321.5600
81,0.0000,0.1333,0.8667,7500.5200,-15319.2800
82,0.0000,0.1400,0.8600,7489.5200,-15308.2800
83,0.0000,0.1400,0.8600,7474.4800,-15293.2400
84,0.0000,0.1267,0.8733,7479.8400,-15298.6000
85,0.0000,0.1267,0.8733,7487.9600,-15306.7200
86,0.0000,0.1133,0.8867,7485.0000,-15303.6400
87,0.0000,0.1067,0.8933,7495.0800,-15313.7200
88,0.0000,0.1133,0.8867,7483.8000,-15302.4400
89,0.0000,0.1133,0.8867,7470.7200,-15289.3600
90,0.0000,0.1133,0.8867,7456.2800,-15271.9600
91,0.0000,0.1133,0.8867,7450.8000,-15266.4800
92,0.0000,0.1067,0.8933,7438.5600,-15260.6400
93,0.0000,0.1000,0.9000,7427.9200,-15250.0000
94,0.0000,0.0933,0.9067,7426.1600,-15248.2400
95,0.0000,0.0867,0.9133,7420.6800,-15242.7600
96,0.0000,0.0733,0.9267,7418.9600,-15239.4800
97,0.0000,0.0733,0.9267,7420.8000,-15241.3200
98,0.0000,0.0667,0.9333,7437.6400,-15251.7600
99,0.0000,0.0600,0.9400,7437.6800,-15251.8000
100,0.0000,0.0600,0.9400,7441.8000,-15251.2000
101,0.0000,0.0467,0.9533,7451.8000,-15260.6800
102,0.0000,0.0400,0.9600,7456.1200,-15265.0000
103,0.0000,0.0533,0.9467,7429.6400,-15238.6800
