Idx,ActionNr,Rescued
1,0.0000,0.4000
2,0.0000,2.8000
3,0.0000,7.6525
4,0.0000,11.9231
5,0.0000,15.2709
6,0.0000,20.6204
7,0.0000,23.2258
8,0.0000,32.0787
9,0.0000,38.0631
10,0.0000,36.1552
11,0.0000,31.6266
12,0.0000,34.0094
13,0.0000,35.6573
14,0.0000,37.6542
15,0.0000,44.9284
16,0.0000,47.0208
17,0.0000,56.0407
18,0.0000,67.9453
19,0.0000,69.9554
20,0.0000,71.8999
21,0.0000,76.3240
22,0.0000,102.2045
23,0.0000,125.9660
24,0.0000,133.5500
25,0.0000,144.3474
26,0.0000,147.3573
27,0.0000,148.6480
28,0.0000,134.2109
29,0.0000,145.8053
30,0.0000,158.0084
31,0.0000,192.0496
32,0.0000,214.1900
33,0.0000,253.6552
34,0.0000,287.1450
35,0.0000,306.3634
36,0.0000,350.0706
37,0.0000,388.9548
38,0.0000,419.1847
39,0.0000,437.1747
40,0.0000,478.0931
41,0.0000,515.4041
42,0.0000,533.2737
43,0.0000,531.4913
44,0.0000,547.3023
45,0.0000,563.7592
46,0.0000,589.1728
47,0.0000,612.4201
48,0.0000,650.1965
49,0.0000,689.5629
50,0.0000,702.5358
51,0.0000,741.3385
52,0.0000,781.6333
53,0.0000,824.5475
54,0.0000,830.4666
55,0.0000,812.8106
56,0.0000,803.1203
57,0.0000,812.7924
58,0.0000,829.3028
59,0.0000,841.4306
60,0.0000,847.1563
61,0.0000,880.8921
62,0.0000,918.2283
63,0.0000,925.2585
64,0.0000,935.5008
65,0.0000,943.9554
66,0.0000,948.0522
67,0.0000,936.7340
68,0.0000,918.9600
69,0.0000,929.0388
70,0.0000,945.3481
71,0.0000,1007.3497
72,0.0000,1065.6877
73,0.0000,1110.1943
74,0.0000,1157.1214
75,0.0000,1200.6842
76,0.0000,1206.2286
77,0.0000,1227.6840
78,0.0000,1261.2704
79,0.0000,1292.8233
80,0.0000,1348.1075
81,0.0000,1386.8670
82,0.0000,1411.1584
83,0.0000,1426.5846
84,0.0000,1429.6263
85,0.0000,1411.9877
86,0.0000,1373.4934
87,0.0000,1397.2288
88,0.0000,1410.6949
89,0.0000,1459.3855
90,0.0000,1472.8248
91,0.0000,1498.1023
92,0.0000,1550.4703
93,0.0000,1580.2144
94,0.0000,1613.9408
95,0.0000,1647.0095
96,0.0000,1675.0030
97,0.0000,1738.7751
98,0.0000,1771.2051
99,0.0000,1790.0241
100,0.0000,1833.7990
101,0.0000,1847.3665
102,0.0000,1856.1397
103,0.0000,1901.4457
104,0.0000,1933.6780
105,0.0000,1935.0205
106,0.0000,2001.0602
107,0.0000,2129.3473
108,0.0000,2192.4075
109,0.0000,2238.3964
110,0.0000,2246.6118
111,0.0000,2331.4863
112,0.0000,2368.3392
113,0.0000,2354.5295
114,0.0000,2374.9808
115,0.0000,2395.8044
116,0.0000,2413.8821
117,0.0000,2453.6488
118,0.0000,2523.6439
119,0.0000,2536.1033
120,0.0000,2515.9539
121,0.0000,2557.3233
122,0.0000,2580.0935
123,0.0000,2565.3528
124,0.0000,2632.8836
125,0.0000,2673.9514
126,0.0000,2748.0249
127,0.0000,2835.5124
128,0.0000,2935.5010
129,0.0000,2988.6757
130,0.0000,3028.1405
131,0.0000,3058.3767
132,0.0000,3063.3195
133,0.0000,3071.6859
134,0.0000,3109.8676
135,0.0000,3130.6349
136,0.0000,3197.4824
137,0.0000,3228.3147
138,0.0000,3245.5623
139,0.0000,3261.9852
140,0.0000,3279.9843
141,0.0000,3290.7615
142,0.0000,3335.9722
143,0.0000,3386.4678
144,0.0000,3390.4969
145,0.0000,3326.2239
146,0.0000,3340.6451
147,0.0000,3360.8417
148,0.0000,3348.3198
149,0.0000,3351.3581
150,0.0000,3417.7762
151,0.0000,3453.6502
152,0.0000,3530.7879
153,0.0000,3553.5535
154,0.0000,3541.2781
155,0.0000,3542.5468
156,0.0000,3534.8096
157,0.0000,3535.5751
158,0.0000,3532.5542
159,0.0000,3560.3622
160,0.0000,3564.1515
161,0.0000,3573.8152
162,0.0000,3536.8185
163,0.0000,3475.2786
164,0.0000,3466.8766
165,0.0000,3429.1620
166,0.0000,3372.0939
167,0.0000,3417.7509
168,0.0000,3412.6015
169,0.0000,3322.5755
170,0.0000,3193.5587
171,0.0000,3134.1712
172,0.0000,3042.0503
173,0.0000,2981.2074
174,0.0000,2862.6783
175,0.0000,2788.0666
176,0.0000,2745.3007
177,0.0000,2694.2504
178,0.0000,2716.6985
179,0.0000,2643.5651
180,0.0000,2560.5208
181,0.0000,2549.9941
182,0.0000,2575.2612
183,0.0000,2636.5490
184,0.0000,2619.1328
185,0.0000,2592.9873
186,0.0000,2561.3088
187,0.0000,2579.2063
188,0.0000,2600.0988
189,0.0000,2599.9450
190,0.0000,2575.4549
191,0.0000,2575.1208
192,0.0000,2556.6251
193,0.0000,2646.1255
194,0.0000,2698.1688
195,0.0000,2628.1156
196,0.0000,2592.3483
197,0.0000,2538.3182
198,0.0000,2314.5912
199,0.0000,1920.4080
200,0.0000,1786.8255
