EpisodeNr,RescuedRatio,TornsRatio,BoredomRatio,TimeInActions,TotalReward
1,0.0000,0.0816,0.0816,184.4132,184.4132
2,0.0000,0.0624,0.0624,173.6633,156.4677
3,0.0000,0.0786,0.0786,165.4040,162.8739
4,0.0000,0.0717,0.0717,191.5886,189.1406
5,0.0000,0.0712,0.0712,198.9899,197.8157
6,0.0111,0.0539,0.0515,179.5096,181.5421
7,0.0095,0.0486,0.0490,175.3850,174.5372
8,0.0083,0.0482,0.0475,180.4923,179.8805
9,0.0074,0.0323,0.0319,186.0997,185.9684
10,0.0067,0.0279,0.0245,168.4130,168.7084
11,0.0121,0.0383,0.0326,177.2311,175.3879
12,0.0111,0.0399,0.0317,174.7571,172.9359
13,0.0154,0.0454,0.0328,171.7840,175.2509
14,0.0143,0.0571,0.0452,179.7119,185.0143
15,0.0133,0.0584,0.0475,172.9917,180.7307
16,0.0125,0.0641,0.0539,171.5117,178.3158
17,0.0118,0.0684,0.0591,168.2826,173.6291
18,0.0143,0.0716,0.0621,172.0831,180.8450
19,0.0170,0.0672,0.0562,171.7375,182.6763
20,0.0194,0.0721,0.0593,172.8823,185.9955
21,0.0216,0.0752,0.0603,170.5619,182.7309
22,0.0207,0.0751,0.0615,167.5474,177.1157
23,0.0198,0.0758,0.0632,163.6765,167.6712
24,0.0217,0.0774,0.0638,158.5060,162.2473
25,0.0208,0.0781,0.0649,152.4009,156.0909
26,0.0208,0.0796,0.0674,152.1548,153.8989
27,0.0208,0.0866,0.0743,150.6359,152.6245
28,0.0208,0.0881,0.0756,148.9081,148.4660
29,0.0208,0.0894,0.0770,146.7845,145.6193
30,0.0202,0.0906,0.0792,148.8070,145.1905
31,0.0176,0.0931,0.0832,157.7023,152.0175
32,0.0200,0.0964,0.0859,167.0349,167.7065
33,0.0200,0.0977,0.0873,180.1442,181.0799
34,0.0200,0.0997,0.0894,188.9409,188.3062
35,0.0225,0.0969,0.0860,202.4353,202.2515
36,0.0200,0.0960,0.0867,211.1765,210.1570
37,0.0225,0.0960,0.0861,222.1996,221.0540
38,0.0225,0.0961,0.0872,226.7436,223.1639
39,0.0217,0.0890,0.0829,231.0609,225.8558
40,0.0242,0.0807,0.0753,237.1084,234.9612
41,0.0268,0.0803,0.0751,244.6879,242.8638
42,0.0294,0.0803,0.0748,246.9456,241.3184
43,0.0276,0.0740,0.0697,246.5497,235.9808
44,0.0276,0.0769,0.0721,254.4062,242.4068
45,0.0276,0.0740,0.0713,252.9917,237.6490
46,0.0276,0.0726,0.0727,252.7171,237.1270
47,0.0302,0.0688,0.0696,246.3615,235.9605
48,0.0302,0.0684,0.0703,247.0097,236.7928
49,0.0302,0.0655,0.0715,258.3043,246.7143
50,0.0302,0.0674,0.0760,263.7502,253.3247
51,0.0302,0.0679,0.0774,272.1244,258.7367
52,0.0302,0.0671,0.0800,274.0661,257.1090
53,0.0302,0.0709,0.0841,268.8839,248.8023
54,0.0302,0.0744,0.0870,265.4159,244.3835
55,0.0304,0.0803,0.0934,257.4090,235.0208
56,0.0304,0.0803,0.0934,250.1633,226.9159
57,0.0282,0.0823,0.0931,245.0540,212.7650
58,0.0282,0.0815,0.0926,237.3080,202.8181
59,0.0282,0.0827,0.0945,229.1331,192.7401
60,0.0255,0.0856,0.0954,221.5743,182.2321
61,0.0255,0.0929,0.1019,207.7715,162.1326
62,0.0235,0.0995,0.1068,201.9118,150.1213
63,0.0208,0.0951,0.1011,197.5080,144.5092
64,0.0213,0.0967,0.1027,193.1770,143.5216
65,0.0187,0.1008,0.1049,175.2300,129.5599
66,0.0160,0.1004,0.1042,167.1794,126.3209
67,0.0133,0.1027,0.1069,168.3231,134.0797
68,0.0133,0.1062,0.1103,162.5996,135.8558
69,0.0107,0.1090,0.1124,158.5774,134.7734
70,0.0080,0.1103,0.1129,157.6434,136.9961
71,0.0053,0.1133,0.1149,152.9349,134.7955
72,0.0033,0.1213,0.1215,146.0286,129.8189
73,0.0033,0.1196,0.1197,134.4946,117.7176
74,0.0027,0.1230,0.1223,113.8466,102.9058
75,0.0027,0.1276,0.1268,106.2964,94.1819
76,0.0027,0.1308,0.1300,92.1026,91.0242
77,0.0027,0.1352,0.1343,87.1689,87.0046
78,0.0027,0.1356,0.1346,86.6269,85.5739
79,0.0027,0.1421,0.1410,78.5421,82.7636
80,0.0027,0.1392,0.1379,72.5252,71.4275
81,0.0027,0.1389,0.1376,66.6776,71.6702
82,0.0027,0.1336,0.1323,62.2510,78.0749
83,0.0053,0.1402,0.1374,61.8289,82.5724
84,0.0053,0.1414,0.1385,65.4685,87.4786
85,0.0053,0.1385,0.1355,75.0448,83.2343
86,0.0053,0.1364,0.1333,86.0312,80.1034
87,0.0053,0.1369,0.1338,99.1534,90.7224
88,0.0053,0.1449,0.1419,103.3496,97.7328
89,0.0053,0.1450,0.1419,112.1907,102.6208
90,0.0053,0.1464,0.1432,124.0981,108.9490
91,0.0053,0.1443,0.1413,135.5695,126.7207
92,0.0053,0.1407,0.1378,145.3697,142.4385
93,0.0053,0.1408,0.1381,154.0661,155.0822
94,0.0080,0.1418,0.1381,167.9913,178.8175
95,0.0080,0.1431,0.1394,176.2070,188.4305
96,0.0080,0.1399,0.1364,180.7714,197.5263
97,0.0053,0.1361,0.1338,182.1103,201.1053
98,0.0053,0.1397,0.1376,175.5480,192.8551
99,0.0053,0.1406,0.1387,174.8179,196.5387
100,0.0053,0.1391,0.1373,163.9891,191.1202
101,0.0053,0.1414,0.1398,160.3766,189.9164
102,0.0053,0.1400,0.1386,157.4888,200.3533
103,0.0053,0.1434,0.1421,156.5685,206.2745
104,0.0053,0.1458,0.1447,152.4964,201.6678
105,0.0053,0.1524,0.1512,146.3556,197.6047
106,0.0053,0.1587,0.1575,143.0293,199.8363
107,0.0053,0.1607,0.1595,139.8947,196.9770
108,0.0027,0.1658,0.1652,140.9731,195.3280
109,0.0027,0.1734,0.1730,137.8819,185.2689
110,0.0033,0.1793,0.1801,124.9380,175.7820
111,0.0033,0.1815,0.1824,116.8248,170.0684
112,0.0033,0.1813,0.1826,108.7568,164.8616
113,0.0033,0.1855,0.1868,104.6720,159.3661
114,0.0033,0.1889,0.1902,95.6035,154.4285
