Idx,ActionNr,Rescued
1,165,1
2,229,2
3,311,3
4,359,4
5,589,5
6,1144,6
7,1208,7
8,1267,8
9,1511,9
10,1813,10
11,1893,11
12,1961,12
13,2038,13
14,2174,14
15,2337,15
16,2456,16
17,2504,17
18,2554,18
19,2651,19
20,2804,20
21,2952,21
22,3148,22
23,3330,23
24,3370,24
25,3434,25
26,4065,26
27,4307,27
28,4577,28
29,4709,29
30,5013,30
31,5051,31
32,5648,32
33,5765,33
34,5897,34
35,6104,35
36,6241,36
37,6470,37
38,6513,38
39,6611,39
40,6685,40
41,6901,41
42,7065,42
43,7306,43
44,7416,44
45,7481,45
46,7686,46
47,7787,47
48,8054,48
49,8505,49
50,8977,50
51,9342,51
52,9387,52
53,9418,53
54,9493,54
55,9681,55
56,9826,56
57,9973,57
58,10049,58
59,10245,59
60,10483,60
61,10822,61
62,11209,62
63,11271,63
64,11880,64
65,12003,65
66,12368,66
67,13078,67
68,13257,68
69,13401,69
70,13468,70
71,13529,71
72,13762,72
73,13976,73
74,14060,74
75,14092,75
76,14328,76
77,14716,77
78,14884,78
79,14913,79
80,14993,80
81,15119,81
82,15467,82
83,16004,83
84,16230,84
85,16388,85
86,16530,86
87,16729,87
88,16779,88
89,16948,89
90,17000,90
91,17212,91
92,17338,92
93,17431,93
94,17833,94
95,17894,95
96,17937,96
97,18254,97
98,18401,98
99,18475,99
100,18530,100
101,18807,101
102,19215,102
103,19325,103
104,19471,104
105,19536,105
106,19737,106
107,19855,107
108,19950,108
109,20126,109
110,20186,110
111,20319,111
112,20722,112
113,20822,113
114,21125,114
115,21526,115
116,21649,116
117,21695,117
118,21843,118
119,22202,119
120,22398,120
121,22566,121
122,22896,122
123,23288,123
124,23526,124
125,23785,125
126,24164,126
127,24244,127
128,24542,128
129,24670,129
130,24716,130
131,24859,131
132,24929,132
133,25218,133
134,25683,134
135,25887,135
136,26222,136
137,26503,137
138,27053,138
139,27155,139
140,27329,140
141,27547,141
142,27820,142
143,27892,143
144,27979,144
145,28045,145
146,28338,146
147,28401,147
148,28750,148
149,28865,149
150,28996,150
151,29068,151
152,29279,152
153,29328,153
154,29409,154
155,29490,155
156,29667,156
157,29820,157
158,30007,158
159,30119,159
160,30154,160
161,30203,161
162,30447,162
163,30503,163
164,30595,164
165,30662,165
166,30734,166
167,30989,167
168,31177,168
169,31242,169
170,31334,170
171,31679,171
172,31826,172
173,31986,173
174,32225,174
175,32272,175
176,32624,176
177,33061,177
178,33180,178
179,33313,179
180,33511,180
181,33630,181
182,33699,182
183,33864,183
184,34143,184
185,34224,185
186,34478,186
187,34828,187
188,34990,188
189,35085,189
190,35129,190
191,35210,191
192,35269,192
193,35853,193
194,36067,194
195,36143,195
196,36205,196
197,36350,197
198,36692,198
199,36747,199
200,36889,200
201,36935,201
202,37023,202
203,37329,203
204,37524,204
205,37849,205
206,37958,206
207,38018,207
208,38168,208
209,38207,209
210,38287,210
211,38518,211
212,38586,212
213,38682,213
214,38762,214
215,39356,215
216,39398,216
217,39469,217
218,39914,218
219,39969,219
220,40056,220
221,40227,221
222,40317,222
223,40645,223
224,40877,224
225,40969,225
226,41683,226
227,41958,227
228,42038,228
229,42098,229
230,42155,230
231,42262,231
232,42508,232
233,42714,233
234,43174,234
235,43253,235
236,43522,236
237,43594,237
238,43701,238
239,43807,239
240,43890,240
241,43926,241
242,44693,242
243,44742,243
244,45284,244
245,45412,245
246,45450,246
247,45562,247
248,45711,248
249,45964,249
250,46266,250
251,46294,251
252,46326,252
253,46390,253
254,46881,254
255,47616,255
256,47848,256
257,47960,257
258,48234,258
259,48343,259
260,48524,260
261,48776,261
262,48836,262
263,49342,263
264,49731,264
265,49851,265
266,50024,266
267,50248,267
268,50537,268
269,50601,269
270,50875,270
271,51049,271
272,51254,272
273,51316,273
274,51458,274
275,51900,275
276,52038,276
277,52278,277
278,52510,278
279,52698,279
280,53342,280
281,53663,281
282,54279,282
283,54616,283
284,54780,284
285,54898,285
286,55432,286
287,55553,287
288,55796,288
289,56160,289
290,56457,290
291,56565,291
292,56841,292
293,56999,293
294,57527,294
295,57889,295
296,57997,296
297,58215,297
298,58276,298
299,58386,299
300,58759,300
301,58930,301
302,59006,302
303,59376,303
304,59804,304
305,60176,305
306,60646,306
307,60797,307
308,60889,308
309,60961,309
310,61291,310
311,61388,311
312,61433,312
313,61471,313
314,61537,314
315,61753,315
316,61819,316
317,61857,317
318,61932,318
319,61994,319
320,62244,320
321,62347,321
322,62505,322
323,62688,323
324,62840,324
325,63275,325
326,63352,326
327,63459,327
328,63523,328
329,63796,329
330,63974,330
331,64048,331
332,64350,332
333,64479,333
334,64523,334
335,64615,335
336,64959,336
337,65276,337
338,65883,338
339,66084,339
340,66299,340
341,66382,341
342,66567,342
343,66755,343
344,66909,344
345,67053,345
346,67288,346
347,67604,347
348,67797,348
349,67862,349
350,67932,350
351,68559,351
352,69097,352
353,69277,353
354,69341,354
355,69636,355
356,69761,356
357,69820,357
358,69946,358
359,70003,359
360,70291,360
361,70658,361
362,70956,362
363,71239,363
364,71455,364
365,71788,365
366,72017,366
367,72210,367
368,72252,368
369,72332,369
370,72558,370
371,72848,371
372,73298,372
373,73693,373
374,73753,374
375,73817,375
376,73987,376
377,74081,377
378,74143,378
379,74325,379
380,74459,380
381,74548,381
382,75190,382
383,75292,383
384,75471,384
385,75721,385
386,75789,386
387,75893,387
388,76136,388
389,76287,389
390,76355,390
391,76592,391
392,77043,392
393,77392,393
394,77429,394
395,77635,395
396,78549,396
397,79003,397
398,79093,398
399,79434,399
400,79561,400
401,79609,401
402,79688,402
403,80043,403
404,80141,404
405,80187,405
406,80415,406
407,80555,407
408,80628,408
409,81437,409
410,81522,410
