EpisodeNr,RescuedRatio,TornsRatio,BoredomRatio,TimeInActions,TotalReward
1,0.12,0.77,0.11,3238,-7990.0
2,0.12,0.76,0.12,3466,-8218.0
3,0.3,0.53,0.17,4378,-8158.0
4,0.17,0.67,0.16,3724,-8206.0
5,0.13,0.7,0.17,3964,-8662.0
6,0.17,0.65,0.18,3938,-8420.0
7,0.19,0.63,0.18,4182,-8556.0
8,0.16,0.71,0.13,3580,-8116.0
9,0.13,0.73,0.14,3672,-8370.0
10,0.26,0.62,0.12,3667,-7663.0
11,0.09,0.76,0.15,3385,-8299.0
12,0.12,0.72,0.16,3754,-8506.0
13,0.11,0.8,0.09,3461,-8267.0
14,0.21,0.66,0.13,3887,-8153.0
15,0.21,0.68,0.11,3377,-7643.0
16,0.12,0.76,0.12,3352,-8104.0
17,0.11,0.74,0.15,3697,-8503.0
18,0.17,0.68,0.15,3592,-8074.0
19,0.18,0.74,0.08,3460,-7888.0
20,0.18,0.68,0.14,3716,-8144.0
21,0.13,0.7,0.17,3997,-8695.0
22,0.26,0.6,0.14,3920,-7916.0
23,0.17,0.71,0.12,3515,-7997.0
24,0.17,0.69,0.14,3664,-8146.0
25,0.23,0.68,0.09,3670,-7828.0
26,0.19,0.67,0.14,4011,-8385.0
27,0.13,0.74,0.13,3479,-8177.0
28,0.2,0.69,0.11,3477,-7797.0
29,0.2,0.7,0.1,3327,-7647.0
30,0.16,0.67,0.17,3815,-8351.0
31,0.18,0.69,0.13,3439,-7867.0
32,0.11,0.69,0.2,3754,-8560.0
33,0.18,0.66,0.16,3650,-8078.0
34,0.19,0.66,0.15,3828,-8202.0
35,0.18,0.64,0.18,4084,-8512.0
36,0.18,0.6,0.22,4290,-8718.0
37,0.2,0.64,0.16,4018,-8338.0
38,0.17,0.68,0.15,3573,-8055.0
39,0.11,0.71,0.18,3827,-8633.0
40,0.17,0.64,0.19,4076,-8558.0
41,0.19,0.66,0.15,3779,-8153.0
42,0.23,0.64,0.13,3968,-8126.0
43,0.15,0.71,0.14,3729,-8319.0
44,0.16,0.75,0.09,3444,-7980.0
45,0.13,0.68,0.19,3893,-8591.0
46,0.22,0.61,0.17,4094,-8306.0
47,0.29,0.6,0.11,3973,-7807.0
48,0.15,0.7,0.15,3586,-8176.0
49,0.18,0.71,0.11,3434,-7862.0
50,0.19,0.72,0.09,3690,-8064.0
51,0.21,0.67,0.12,3582,-7848.0
52,0.14,0.72,0.14,3547,-8191.0
53,0.13,0.77,0.1,3249,-7947.0
54,0.18,0.71,0.11,3408,-7836.0
55,0.21,0.65,0.14,3820,-8086.0
56,0.25,0.64,0.11,3933,-7983.0
57,0.23,0.6,0.17,4315,-8473.0
58,0.16,0.76,0.08,3199,-7735.0
59,0.17,0.7,0.13,3515,-7997.0
60,0.15,0.71,0.14,3537,-8127.0
61,0.18,0.7,0.12,3567,-7995.0
62,0.23,0.68,0.09,3425,-7583.0
63,0.22,0.68,0.1,3655,-7867.0
64,0.13,0.68,0.19,4162,-8860.0
65,0.16,0.7,0.14,3423,-7959.0
66,0.18,0.66,0.16,3678,-8106.0
67,0.11,0.7,0.19,3862,-8668.0
68,0.28,0.64,0.08,3757,-7645.0
69,0.23,0.63,0.14,3858,-8016.0
70,0.14,0.71,0.15,3722,-8366.0
71,0.19,0.71,0.1,3632,-8006.0
72,0.14,0.72,0.14,3747,-8391.0
73,0.14,0.79,0.07,3200,-7844.0
74,0.15,0.68,0.17,3897,-8487.0
75,0.14,0.75,0.11,3449,-8093.0
76,0.2,0.64,0.16,4067,-8387.0
77,0.11,0.73,0.16,3566,-8372.0
78,0.25,0.57,0.18,4140,-8190.0
79,0.21,0.63,0.16,3951,-8217.0
80,0.1,0.76,0.14,3732,-8592.0
81,0.16,0.67,0.17,3803,-8339.0
82,0.18,0.69,0.13,3907,-8335.0
83,0.24,0.66,0.1,3654,-7758.0
84,0.13,0.73,0.14,3441,-8139.0
85,0.21,0.66,0.13,3955,-8221.0
86,0.18,0.71,0.11,3704,-8132.0
87,0.16,0.67,0.17,3874,-8410.0
88,0.19,0.67,0.14,3870,-8244.0
89,0.17,0.7,0.13,3866,-8348.0
90,0.22,0.68,0.1,3509,-7721.0
91,0.18,0.6,0.22,4027,-8455.0
92,0.15,0.69,0.16,3789,-8379.0
93,0.15,0.71,0.14,3796,-8386.0
94,0.15,0.7,0.15,3585,-8175.0
95,0.16,0.73,0.11,3450,-7986.0
96,0.23,0.68,0.09,3570,-7728.0
97,0.11,0.73,0.16,3726,-8532.0
98,0.15,0.72,0.13,3520,-8110.0
99,0.13,0.75,0.12,3499,-8197.0
100,0.13,0.73,0.14,3534,-8232.0
101,0.18,0.7,0.12,3615,-8043.0
102,0.17,0.68,0.15,3920,-8402.0
103,0.18,0.68,0.14,3736,-8164.0
104,0.16,0.68,0.16,3903,-8439.0
105,0.14,0.65,0.21,4030,-8674.0
106,0.1,0.76,0.14,3386,-8246.0
107,0.17,0.71,0.12,3514,-7996.0
108,0.23,0.66,0.11,3865,-8023.0
109,0.15,0.72,0.13,3520,-8110.0
110,0.16,0.72,0.12,3634,-8170.0
111,0.17,0.67,0.16,3649,-8131.0
112,0.14,0.71,0.15,3698,-8342.0
113,0.21,0.64,0.15,3804,-8070.0
114,0.13,0.69,0.18,3841,-8539.0
115,0.14,0.77,0.09,3361,-8005.0
116,0.21,0.68,0.11,3872,-8138.0
117,0.19,0.6,0.21,4355,-8729.0
118,0.21,0.65,0.14,3850,-8116.0
119,0.21,0.69,0.1,3648,-7914.0
120,0.18,0.64,0.18,4015,-8443.0
121,0.18,0.69,0.13,3708,-8136.0
122,0.16,0.64,0.2,3907,-8443.0
123,0.2,0.63,0.17,3832,-8152.0
124,0.21,0.67,0.12,3855,-8121.0
125,0.15,0.7,0.15,3499,-8089.0
126,0.2,0.69,0.11,3727,-8047.0
127,0.15,0.7,0.15,3966,-8556.0
128,0.24,0.63,0.13,4090,-8194.0
129,0.23,0.57,0.2,3999,-8157.0
130,0.16,0.66,0.18,3914,-8450.0
131,0.18,0.69,0.13,3603,-8031.0
132,0.21,0.64,0.15,3896,-8162.0
133,0.17,0.73,0.1,3461,-7943.0
134,0.17,0.74,0.09,3687,-8169.0
135,0.17,0.74,0.09,3584,-8066.0
136,0.15,0.73,0.12,3549,-8139.0
137,0.21,0.62,0.17,3972,-8238.0
138,0.17,0.73,0.1,3523,-8005.0
139,0.16,0.73,0.11,3669,-8205.0
140,0.21,0.66,0.13,3660,-7926.0
