Idx,ActionNr,Rescued
1,2364.0000,11.3000
2,4727.0000,23.0000
3,7091.0000,34.6000
4,9455.0000,46.5000
5,11819.0000,57.6000
6,14182.0000,70.2000
7,16546.0000,81.9000
8,18910.0000,93.1000
9,21273.0000,103.8000
10,23637.0000,114.5000
11,26001.0000,126.5000
12,28365.0000,137.1000
13,30728.0000,149.4000
14,33092.0000,160.5000
15,35456.0000,171.0000
16,37819.0000,182.6000
17,40183.0000,193.0000
18,42547.0000,204.2000
19,44911.0000,214.9000
20,47274.0000,226.5000
21,49638.0000,236.3000
22,52002.0000,249.0000
23,54365.0000,259.5000
24,56729.0000,271.2000
25,59093.0000,282.5000
26,61457.0000,291.5000
27,63820.0000,303.8000
28,66184.0000,313.6000
29,68548.0000,324.8000
30,70911.0000,337.8000
31,73275.0000,348.3000
32,75639.0000,360.8000
33,78003.0000,371.7000
34,80366.0000,381.7000
35,82730.0000,393.4000
36,85094.0000,403.9000
37,87457.0000,414.7000
38,89821.0000,425.7000
39,92185.0000,436.7000
40,94548.0000,448.4000
41,96912.0000,458.8000
42,99276.0000,469.3000
43,101640.0000,479.4000
44,104003.0000,491.0000
45,106367.0000,503.6000
46,108731.0000,515.7000
47,111094.0000,525.3000
48,113458.0000,538.4000
49,115822.0000,550.2000
50,118186.0000,561.3000
51,120549.0000,572.4000
52,122913.0000,584.4000
53,125277.0000,594.7000
54,127640.0000,606.0000
55,130004.0000,617.3000
56,132368.0000,627.8000
57,134732.0000,640.2000
58,137095.0000,651.5000
59,139459.0000,662.9000
60,141823.0000,672.6000
61,144186.0000,683.2000
62,146550.0000,696.4000
63,148914.0000,705.8000
64,151278.0000,717.1000
65,153641.0000,728.9000
66,156005.0000,739.0000
67,158369.0000,751.7000
68,160732.0000,762.4000
69,163096.0000,772.9000
70,165460.0000,782.9000
71,167824.0000,793.2000
72,170187.0000,803.6000
73,172551.0000,816.5000
74,174915.0000,828.6000
75,177278.0000,839.1000
76,179642.0000,849.9000
77,182006.0000,862.6000
78,184370.0000,873.6000
79,186733.0000,885.3000
80,189097.0000,897.6000
81,191461.0000,909.0000
82,193824.0000,921.7000
83,196188.0000,931.1000
84,198552.0000,941.7000
85,200916.0000,953.0000
86,203279.0000,962.7000
87,205643.0000,973.5000
88,208007.0000,984.1000
89,210370.0000,994.2000
90,212734.0000,1004.8000
91,215098.0000,1016.7000
92,217462.0000,1026.8000
93,219825.0000,1037.7000
94,222189.0000,1048.7000
95,224553.0000,1061.2000
96,226916.0000,1073.9000
97,229280.0000,1085.5000
98,231644.0000,1097.4000
99,234008.0000,1107.3000
100,236371.0000,1117.1000
101,238735.0000,1129.3000
102,241099.0000,1140.1000
