EpisodeNr,RescuedRatio,TornsRatio,BoredomRatio,TimeInActions,TotalReward
1,0.1840,0.6850,0.1310,3690.4000,-8096.8000
2,0.1790,0.6780,0.1430,3731.9500,-8151.8500
3,0.1880,0.6630,0.1490,3742.5667,-8150.7667
4,0.1980,0.6610,0.1410,3745.6250,-8134.4750
5,0.1750,0.6940,0.1310,3738.3000,-8140.3800
6,0.1740,0.6680,0.1580,3762.8000,-8174.6000
7,0.1780,0.6720,0.1500,3769.5571,-8185.2143
8,0.1860,0.6760,0.1380,3770.5250,-8183.6750
9,0.1880,0.6610,0.1510,3782.1556,-8192.1556
10,0.1700,0.6920,0.1380,3771.0300,-8188.2300
11,0.1680,0.6970,0.1350,3770.6700,-8196.5100
12,0.1670,0.6960,0.1370,3761.5100,-8193.8300
13,0.1730,0.6900,0.1370,3756.5600,-8196.9800
14,0.1880,0.6730,0.1390,3763.4800,-8209.3000
15,0.1800,0.6660,0.1540,3764.6700,-8207.7900
16,0.1710,0.6670,0.1620,3759.1200,-8203.8600
17,0.1690,0.6960,0.1350,3746.4400,-8196.0400
18,0.1610,0.6890,0.1500,3740.3300,-8203.4300
19,0.1950,0.6910,0.1140,3717.1200,-8176.4400
20,0.1880,0.6640,0.1480,3730.9800,-8180.5800
21,0.1660,0.6730,0.1610,3747.1800,-8197.8600
22,0.1820,0.6760,0.1420,3755.2100,-8197.7900
23,0.1640,0.6960,0.1400,3751.3500,-8198.7900
24,0.1750,0.6860,0.1390,3734.8800,-8189.3400
25,0.1850,0.6830,0.1320,3736.3600,-8188.1200
26,0.1620,0.7130,0.1250,3719.4400,-8176.0600
27,0.1580,0.6910,0.1510,3721.1800,-8183.7400
28,0.1800,0.6740,0.1460,3720.2400,-8172.5400
29,0.1960,0.6500,0.1540,3744.0300,-8195.7900
30,0.1840,0.6850,0.1310,3731.6600,-8185.5800
31,0.1880,0.6630,0.1490,3719.1700,-8161.2100
32,0.1710,0.6850,0.1440,3713.0000,-8160.9800
33,0.1780,0.6900,0.1320,3710.7000,-8151.1200
34,0.1640,0.6880,0.1480,3716.1000,-8162.4600
35,0.1860,0.6710,0.1430,3716.9800,-8162.8000
36,0.1670,0.6680,0.1650,3731.0200,-8174.1400
37,0.1840,0.6810,0.1350,3733.0700,-8162.1500
38,0.1720,0.7020,0.1260,3719.1900,-8152.5900
39,0.1650,0.7000,0.1350,3693.0400,-8143.1800
40,0.1730,0.6780,0.1490,3702.4700,-8158.5500
41,0.1830,0.6600,0.1570,3711.7500,-8170.5300
42,0.1820,0.6860,0.1320,3714.6400,-8167.4800
43,0.1840,0.6800,0.1360,3727.2100,-8176.8100
44,0.1530,0.7060,0.1410,3727.6200,-8183.1600
45,0.1640,0.6850,0.1510,3726.6100,-8194.0300
46,0.1870,0.6530,0.1600,3734.3300,-8190.9500
47,0.1880,0.6770,0.1350,3729.9300,-8184.3900
48,0.1610,0.7150,0.1240,3734.1400,-8194.5400
49,0.1910,0.6560,0.1530,3758.5500,-8204.9100
50,0.1950,0.6770,0.1280,3754.3500,-8188.8300
51,0.1770,0.6870,0.1360,3737.4800,-8175.2000
52,0.1890,0.6690,0.1420,3749.3800,-8183.3200
53,0.1690,0.7030,0.1280,3740.0000,-8182.0400
54,0.1630,0.6930,0.1440,3744.0400,-8180.6800
55,0.1680,0.6780,0.1540,3753.9600,-8188.4400
56,0.1660,0.6840,0.1500,3748.3700,-8194.1900
57,0.1900,0.6750,0.1350,3754.0400,-8198.7800
58,0.1720,0.6880,0.1400,3775.1000,-8213.9000
59,0.1740,0.6890,0.1370,3755.7500,-8203.7300
60,0.1750,0.6890,0.1360,3750.0500,-8208.8300
61,0.1860,0.6630,0.1510,3764.4500,-8218.3700
62,0.1780,0.6880,0.1340,3747.8500,-8207.7100
63,0.1770,0.6690,0.1540,3760.4700,-8216.0100
64,0.1740,0.6830,0.1430,3766.0500,-8215.6500
65,0.1670,0.6810,0.1520,3756.8300,-8206.9700
66,0.1770,0.6760,0.1470,3751.7500,-8195.9500
67,0.1790,0.6850,0.1360,3759.2600,-8209.4000
68,0.1850,0.6880,0.1270,3745.1000,-8188.2200
69,0.1770,0.6800,0.1430,3753.5900,-8195.0900
70,0.1740,0.6770,0.1490,3760.7300,-8202.7700
71,0.1870,0.6730,0.1400,3753.7900,-8195.2900
72,0.1640,0.6810,0.1550,3768.3700,-8217.4300
73,0.1750,0.6990,0.1260,3753.3900,-8203.5300
74,0.1550,0.7070,0.1380,3740.0700,-8200.4700
75,0.1660,0.6770,0.1570,3738.0900,-8199.0300
76,0.1670,0.6870,0.1460,3732.4200,-8198.7600
77,0.1640,0.6870,0.1490,3729.2100,-8203.6500
78,0.1800,0.6770,0.1430,3741.0400,-8218.1800
79,0.1640,0.7100,0.1260,3727.7400,-8211.9000
80,0.1770,0.6700,0.1530,3738.2300,-8220.7700
81,0.1820,0.7040,0.1140,3721.4000,-8206.6400
82,0.1620,0.6930,0.1450,3711.1900,-8197.5100
83,0.2060,0.6570,0.1370,3723.5100,-8193.0900
84,0.1890,0.6730,0.1380,3724.6300,-8175.8500
85,0.1980,0.6750,0.1270,3728.6400,-8162.5800
86,0.1750,0.6770,0.1480,3734.9500,-8164.5700
87,0.1870,0.6660,0.1470,3741.6200,-8158.8200
88,0.1820,0.6780,0.1400,3738.1300,-8154.2500
89,0.1900,0.6700,0.1400,3753.9300,-8156.0100
90,0.2010,0.6580,0.1410,3745.6000,-8134.7200
91,0.1820,0.6670,0.1510,3773.8400,-8162.9600
92,0.1710,0.6700,0.1590,3782.2600,-8166.5200
93,0.1390,0.7090,0.1520,3769.9800,-8190.4200
94,0.1450,0.7150,0.1400,3759.2600,-8203.4600
95,0.1770,0.6900,0.1330,3746.3600,-8201.9000
96,0.1850,0.6780,0.1370,3735.8400,-8185.9800
97,0.1740,0.6850,0.1410,3719.7900,-8176.9500
98,0.1930,0.6580,0.1490,3731.0600,-8182.2800
99,0.1960,0.6550,0.1490,3744.0000,-8191.9800
100,0.1790,0.6980,0.1230,3733.5500,-8193.4100
101,0.1860,0.6710,0.1430,3735.8200,-8193.5200
102,0.1850,0.6750,0.1400,3732.2400,-8182.3800
103,0.1750,0.6890,0.1360,3740.2100,-8170.9100
104,0.1770,0.6630,0.1600,3767.4100,-8180.8300
105,0.1670,0.7000,0.1330,3769.8100,-8188.6300
106,0.1700,0.6770,0.1530,3781.2500,-8208.1700
107,0.1730,0.6770,0.1500,3790.2800,-8217.7400
108,0.1920,0.6650,0.1430,3781.2500,-8209.2500
109,0.1710,0.6710,0.1580,3777.7800,-8219.2800
110,0.2040,0.6750,0.1210,3787.2400,-8215.2400
111,0.1750,0.6600,0.1650,3785.0800,-8219.0200
112,0.1870,0.6820,0.1310,3775.1800,-8208.0400
113,0.1860,0.6780,0.1360,3767.9600,-8194.8800
114,0.1810,0.6550,0.1640,3767.1900,-8191.9500
115,0.1750,0.6930,0.1320,3767.6000,-8188.0400
116,0.1900,0.6520,0.1580,3785.7300,-8195.3700
117,0.1870,0.6680,0.1450,3795.4200,-8197.5000
118,0.1790,0.6630,0.1580,3803.7200,-8212.8200
119,0.1840,0.6850,0.1310,3786.2900,-8188.3700
120,0.1660,0.6800,0.1540,3781.0000,-8203.6000
121,0.1960,0.6560,0.1480,3776.5200,-8187.7800
122,0.1550,0.6920,0.1530,3782.5100,-8211.0500
123,0.1700,0.6780,0.1520,3789.0000,-8226.1800
124,0.1810,0.6650,0.1540,3785.0300,-8222.2100
125,0.1680,0.6710,0.1610,3796.6000,-8237.5600
126,0.1610,0.6910,0.1480,3773.5300,-8230.1500
127,0.1850,0.6830,0.1320,3762.0600,-8219.7600
128,0.1770,0.6900,0.1330,3750.5900,-8209.3700
129,0.1770,0.6620,0.1610,3752.6600,-8215.2200
130,0.1610,0.6930,0.1460,3765.6300,-8230.8900
131,0.1780,0.6890,0.1330,3756.6400,-8231.6200
132,0.1990,0.6500,0.1510,3771.0900,-8222.3100
133,0.1780,0.6890,0.1330,3765.4700,-8212.3700
134,0.1720,0.6910,0.1370,3759.2900,-8211.0500
135,0.1720,0.6900,0.1380,3750.3200,-8199.9200
136,0.1770,0.7040,0.1190,3739.8000,-8180.7600
137,0.1930,0.6680,0.1390,3735.6800,-8172.3200
138,0.1780,0.6830,0.1390,3730.7500,-8166.8500
