Idx,ActionNr,Rescued
1,0.0000,3.4366
2,0.0000,3.9497
3,0.0000,5.4443
4,0.0000,5.5902
5,0.0000,5.9025
6,0.0000,4.5122
7,0.0000,5.6648
8,0.0000,7.0207
9,0.0000,7.6000
10,0.0000,7.5531
11,0.0000,6.7860
12,0.0000,6.7000
13,0.0000,8.0275
14,0.0000,9.3193
15,0.0000,10.0896
16,0.0000,10.6038
17,0.0000,12.6174
18,0.0000,13.6220
19,0.0000,15.2214
20,0.0000,16.0950
21,0.0000,15.7483
22,0.0000,14.8661
23,0.0000,14.2496
24,0.0000,14.6683
25,0.0000,15.1410
26,0.0000,16.1756
27,0.0000,16.3511
28,0.0000,16.6865
29,0.0000,16.8155
30,0.0000,15.6064
31,0.0000,15.9377
32,0.0000,17.9600
33,0.0000,18.4122
34,0.0000,17.8384
35,0.0000,17.9232
36,0.0000,18.5927
37,0.0000,18.3142
38,0.0000,18.6872
39,0.0000,19.1940
40,0.0000,18.0842
41,0.0000,19.4206
42,0.0000,18.9423
43,0.0000,17.8056
44,0.0000,16.6072
45,0.0000,15.7493
46,0.0000,17.2108
47,0.0000,17.2572
48,0.0000,19.7292
49,0.0000,19.6408
50,0.0000,21.5548
51,0.0000,21.6758
52,0.0000,21.9235
53,0.0000,22.3743
54,0.0000,21.6148
55,0.0000,20.6545
56,0.0000,20.8509
57,0.0000,20.0689
58,0.0000,18.8534
59,0.0000,19.0076
60,0.0000,18.1780
61,0.0000,19.4052
62,0.0000,21.2847
63,0.0000,22.1486
64,0.0000,22.8099
65,0.0000,21.9110
66,0.0000,21.1140
67,0.0000,20.8952
68,0.0000,22.0463
69,0.0000,22.8493
70,0.0000,22.5719
71,0.0000,23.1897
72,0.0000,22.0009
73,0.0000,22.1687
74,0.0000,21.5833
75,0.0000,20.8684
76,0.0000,19.9321
77,0.0000,19.7848
78,0.0000,20.5631
79,0.0000,19.3600
80,0.0000,17.4997
81,0.0000,17.0411
82,0.0000,17.2919
83,0.0000,16.9024
84,0.0000,16.2422
85,0.0000,16.2727
86,0.0000,16.5170
87,0.0000,16.2065
88,0.0000,16.2877
89,0.0000,15.6959
90,0.0000,17.5488
91,0.0000,17.9168
92,0.0000,17.9711
93,0.0000,18.8045
94,0.0000,18.5313
95,0.0000,20.0140
96,0.0000,18.2836
97,0.0000,19.5819
98,0.0000,19.2104
99,0.0000,19.9802
100,0.0000,19.5982
101,0.0000,20.3816
102,0.0000,20.2260
103,0.0000,19.2780
104,0.0000,19.1687
105,0.0000,21.5381
106,0.0000,21.3542
107,0.0000,20.9561
108,0.0000,21.1556
109,0.0000,21.1320
110,0.0000,21.4187
111,0.0000,22.0145
112,0.0000,21.7164
113,0.0000,21.3260
114,0.0000,20.1057
115,0.0000,20.6485
116,0.0000,20.3578
117,0.0000,21.4346
118,0.0000,19.8819
119,0.0000,19.4792
120,0.0000,18.5860
121,0.0000,19.4702
122,0.0000,18.9106
123,0.0000,18.8457
124,0.0000,18.9866
125,0.0000,19.4720
126,0.0000,18.7681
127,0.0000,19.9158
128,0.0000,20.2938
129,0.0000,20.3098
130,0.0000,20.7608
131,0.0000,21.2847
132,0.0000,21.5335
133,0.0000,20.8528
134,0.0000,20.1901
135,0.0000,19.3494
136,0.0000,18.4231
137,0.0000,18.0336
138,0.0000,18.3259
139,0.0000,17.2224
140,0.0000,17.8014
141,0.0000,17.7358
142,0.0000,18.3142
143,0.0000,17.0716
144,0.0000,18.1497
145,0.0000,19.1690
146,0.0000,19.2780
147,0.0000,19.1833
148,0.0000,19.1144
149,0.0000,18.7214
150,0.0000,19.7129
151,0.0000,19.8618
152,0.0000,20.2803
153,0.0000,20.3620
154,0.0000,18.8332
155,0.0000,18.2945
156,0.0000,19.2481
157,0.0000,18.1813
158,0.0000,17.7313
159,0.0000,17.0106
160,0.0000,16.4927
161,0.0000,17.6805
162,0.0000,18.4835
163,0.0000,18.1408
164,0.0000,18.6505
165,0.0000,19.7659
166,0.0000,20.0522
167,0.0000,20.2968
168,0.0000,20.8425
169,0.0000,21.7016
170,0.0000,22.0735
171,0.0000,21.0038
172,0.0000,21.0117
173,0.0000,20.9478
174,0.0000,21.2923
175,0.0000,21.5511
176,0.0000,21.3354
177,0.0000,21.4895
178,0.0000,22.6548
179,0.0000,23.3840
180,0.0000,23.0052
181,0.0000,22.6583
182,0.0000,22.6062
183,0.0000,22.4653
184,0.0000,23.6112
185,0.0000,25.3892
186,0.0000,25.1398
187,0.0000,25.5859
188,0.0000,26.7112
189,0.0000,27.0067
190,0.0000,27.1654
191,0.0000,28.8938
192,0.0000,28.8208
193,0.0000,29.4455
194,0.0000,27.8561
195,0.0000,26.2785
196,0.0000,26.0430
197,0.0000,26.6338
198,0.0000,25.7107
199,0.0000,26.6009
200,0.0000,26.6498
201,0.0000,25.7023
202,0.0000,26.0200
203,0.0000,25.3355
204,0.0000,25.2262
205,0.0000,25.5539
206,0.0000,25.5008
207,0.0000,25.7816
208,0.0000,23.9351
209,0.0000,23.7152
210,0.0000,22.8902
211,0.0000,24.6335
212,0.0000,23.8916
213,0.0000,24.2448
214,0.0000,25.1444
215,0.0000,25.0250
216,0.0000,25.4207
217,0.0000,26.0530
218,0.0000,27.2450
219,0.0000,26.3127
220,0.0000,24.6619
221,0.0000,23.6239
222,0.0000,24.0418
223,0.0000,22.9513
224,0.0000,23.0063
225,0.0000,22.4769
226,0.0000,22.7440
227,0.0000,23.1536
228,0.0000,23.3369
229,0.0000,23.1216
230,0.0000,23.8294
231,0.0000,24.8638
232,0.0000,25.8341
233,0.0000,24.5416
234,0.0000,24.1653
235,0.0000,24.3313
236,0.0000,23.5449
237,0.0000,24.6325
238,0.0000,24.3811
239,0.0000,26.1819
240,0.0000,28.5475
241,0.0000,27.8640
242,0.0000,27.5289
243,0.0000,27.5071
244,0.0000,26.8037
245,0.0000,28.1505
246,0.0000,30.2538
247,0.0000,29.6623
248,0.0000,30.2728
249,0.0000,28.9005
250,0.0000,29.5549
251,0.0000,29.9373
252,0.0000,29.8672
253,0.0000,31.1634
254,0.0000,31.9345
255,0.0000,30.6065
256,0.0000,30.8780
257,0.0000,31.8787
258,0.0000,32.3526
259,0.0000,32.3334
260,0.0000,33.1867
261,0.0000,33.4695
262,0.0000,34.5665
263,0.0000,33.0521
264,0.0000,34.1257
265,0.0000,34.7914
266,0.0000,34.7879
267,0.0000,33.6512
268,0.0000,34.5694
269,0.0000,33.4486
270,0.0000,34.6527
271,0.0000,34.8861
272,0.0000,33.7337
273,0.0000,34.2784
274,0.0000,34.6654
275,0.0000,33.9175
276,0.0000,35.3934
277,0.0000,36.8043
278,0.0000,36.6928
279,0.0000,37.2705
280,0.0000,37.6017
281,0.0000,38.4624
282,0.0000,37.8615
283,0.0000,39.6798
284,0.0000,39.6990
285,0.0000,38.4007
286,0.0000,38.2728
287,0.0000,36.9405
288,0.0000,38.3427
289,0.0000,38.2073
290,0.0000,38.4884
291,0.0000,38.1885
292,0.0000,36.9978
293,0.0000,36.7315
294,0.0000,38.4241
295,0.0000,37.5207
296,0.0000,38.0001
297,0.0000,38.6198
298,0.0000,38.6476
299,0.0000,38.5648
300,0.0000,39.1567
301,0.0000,38.1692
302,0.0000,38.4891
303,0.0000,39.0056
304,0.0000,39.9405
305,0.0000,40.6103
306,0.0000,39.5708
307,0.0000,40.4980
308,0.0000,39.5783
309,0.0000,38.8041
310,0.0000,36.8679
311,0.0000,36.7853
312,0.0000,36.3385
313,0.0000,36.3599
314,0.0000,36.0235
315,0.0000,36.8212
316,0.0000,36.7532
317,0.0000,37.3957
318,0.0000,37.7027
319,0.0000,38.2183
320,0.0000,40.7903
321,0.0000,41.5957
322,0.0000,41.2335
323,0.0000,40.4975
324,0.0000,40.9840
325,0.0000,40.7598
326,0.0000,42.5093
327,0.0000,42.3910
328,0.0000,42.6405
329,0.0000,43.3069
330,0.0000,43.5409
331,0.0000,43.0576
332,0.0000,43.0861
333,0.0000,42.7897
334,0.0000,42.2014
335,0.0000,41.1611
336,0.0000,40.7491
337,0.0000,39.2669
338,0.0000,39.6530
339,0.0000,39.2175
340,0.0000,39.7336
341,0.0000,39.3549
342,0.0000,40.7000
343,0.0000,43.1885
344,0.0000,43.8137
345,0.0000,44.3265
346,0.0000,43.6858
347,0.0000,45.4014
348,0.0000,45.5927
349,0.0000,45.2500
350,0.0000,45.6622
351,0.0000,47.4204
352,0.0000,48.1528
353,0.0000,48.9470
354,0.0000,48.4612
355,0.0000,47.4388
356,0.0000,45.6416
357,0.0000,46.2905
358,0.0000,46.2978
359,0.0000,46.5042
360,0.0000,46.9911
361,0.0000,47.2741
362,0.0000,46.4172
363,0.0000,46.9026
364,0.0000,46.6893
365,0.0000,46.6309
366,0.0000,45.0054
367,0.0000,46.3556
368,0.0000,46.9195
369,0.0000,44.9671
370,0.0000,46.2261
371,0.0000,47.7285
372,0.0000,47.8252
373,0.0000,47.8335
374,0.0000,48.1839
375,0.0000,48.7631
376,0.0000,49.0009
377,0.0000,46.5606
378,0.0000,47.8702
379,0.0000,48.8169
380,0.0000,48.1544
381,0.0000,48.0870
382,0.0000,48.6071
383,0.0000,48.5103
384,0.0000,46.9861
385,0.0000,46.8817
386,0.0000,46.6529
387,0.0000,48.5247
388,0.0000,48.6888
389,0.0000,47.0618
390,0.0000,49.5388
391,0.0000,48.6626
392,0.0000,48.5552
393,0.0000,49.5803
394,0.0000,50.0755
395,0.0000,50.3690
396,0.0000,50.3171
397,0.0000,51.6396
398,0.0000,52.2662
399,0.0000,52.5913
400,0.0000,51.9115
