EpisodeNr,RescuedRatio,TornsRatio,BoredomRatio,TimeInActions,TotalReward
1,0.0434,0.0490,0.0247,256.8062,212.9238
2,0.0330,0.0487,0.0200,171.6066,130.6021
3,0.0502,0.0605,0.0308,111.9550,142.6812
4,0.0296,0.0406,0.0284,90.9014,83.6983
5,0.0338,0.0459,0.0348,98.7917,91.6668
6,0.0317,0.0542,0.0346,67.7303,77.2598
7,0.0419,0.0531,0.0249,64.2875,74.1167
8,0.0301,0.0338,0.0319,61.7841,74.8031
9,0.0334,0.0314,0.0370,52.1103,83.4603
10,0.0410,0.0471,0.0289,60.0804,80.2705
11,0.0352,0.0358,0.0273,57.3360,79.2516
12,0.0344,0.0372,0.0323,69.1316,89.8385
13,0.0369,0.0484,0.0293,57.5387,82.0087
14,0.0316,0.0210,0.0321,60.0916,85.2546
15,0.0387,0.0463,0.0393,70.3301,98.5259
16,0.0291,0.0504,0.0322,69.4260,92.3264
17,0.0399,0.0388,0.0287,84.0379,95.2631
18,0.0348,0.0308,0.0316,71.4300,80.5280
19,0.0406,0.0489,0.0332,75.3578,79.3628
20,0.0496,0.0317,0.0309,89.0525,86.5737
21,0.0310,0.0283,0.0356,78.8894,84.6402
22,0.0540,0.0445,0.0306,88.1655,89.9560
23,0.0439,0.0506,0.0219,76.0935,89.8444
24,0.0393,0.0498,0.0137,74.6229,78.2141
25,0.0307,0.0195,0.0309,71.1426,70.0452
26,0.0248,0.0297,0.0250,41.7547,47.2783
27,0.0394,0.0324,0.0375,40.1819,48.0237
28,0.0316,0.0457,0.0280,63.3126,69.4165
29,0.0577,0.0724,0.0369,59.5770,66.1244
30,0.0400,0.0297,0.0345,46.0462,68.4563
31,0.0371,0.0398,0.0301,51.0388,65.7773
32,0.0284,0.0344,0.0304,59.7124,62.2023
33,0.0227,0.0475,0.0340,63.4469,59.1996
34,0.0307,0.0510,0.0417,52.7719,78.0085
35,0.0329,0.0435,0.0403,58.3721,64.8928
36,0.0335,0.0581,0.0478,57.7211,78.9746
37,0.0427,0.0428,0.0356,60.9656,63.4745
38,0.0343,0.0389,0.0233,52.0584,67.6341
39,0.0425,0.0653,0.0457,71.4701,92.8434
40,0.0405,0.0394,0.0439,88.9150,107.9046
41,0.0393,0.0429,0.0290,88.7383,113.5462
42,0.0352,0.0524,0.0240,97.9568,100.0676
43,0.0380,0.0355,0.0326,100.3407,110.5907
44,0.0276,0.0335,0.0418,91.8379,98.5104
45,0.0294,0.0206,0.0266,97.2187,95.4680
46,0.0245,0.0366,0.0410,90.4599,84.5555
47,0.0558,0.0595,0.0482,81.6731,74.7650
48,0.0207,0.0406,0.0297,94.2410,72.0517
49,0.0318,0.0490,0.0335,91.5243,78.1677
50,0.0364,0.0358,0.0419,81.0415,63.4530
51,0.0445,0.0510,0.0314,95.1823,76.6095
52,0.0336,0.0381,0.0343,102.7297,85.1434
53,0.0318,0.0422,0.0325,102.5089,93.9575
54,0.0352,0.0358,0.0502,92.9268,103.7367
55,0.0371,0.0349,0.0304,93.9290,116.1087
56,0.0415,0.0415,0.0272,83.0596,112.7066
57,0.0338,0.0573,0.0287,70.7412,87.9813
58,0.0328,0.0303,0.0374,95.1636,109.8068
59,0.0372,0.0373,0.0185,85.9637,111.4557
60,0.0238,0.0308,0.0242,84.1733,108.7694
61,0.0258,0.0569,0.0466,79.0803,106.4467
62,0.0440,0.0477,0.0314,75.2974,104.9227
63,0.0344,0.0474,0.0390,80.4525,119.4302
64,0.0320,0.0363,0.0313,53.6520,78.3363
65,0.0400,0.0552,0.0232,48.5261,66.8133
66,0.0420,0.0434,0.0162,65.5667,71.8750
67,0.0453,0.0262,0.0276,80.2186,78.4122
68,0.0545,0.0527,0.0329,52.2051,74.5362
69,0.0486,0.0467,0.0415,46.9819,78.6636
70,0.0432,0.0303,0.0336,43.4756,71.9416
71,0.0300,0.0300,0.0228,46.6527,64.7096
72,0.0356,0.0396,0.0344,54.7588,51.5255
73,0.0383,0.0418,0.0512,65.5985,76.1129
74,0.0206,0.0514,0.0389,76.5227,88.2909
75,0.0326,0.0395,0.0329,84.9092,81.4061
76,0.0372,0.0469,0.0258,101.1975,86.1982
77,0.0320,0.0424,0.0416,103.3771,82.5553
78,0.0402,0.0486,0.0300,107.3829,104.0732
79,0.0294,0.0387,0.0350,94.9465,97.8273
80,0.0452,0.0626,0.0272,91.6350,97.5575
81,0.0371,0.0488,0.0280,78.6248,81.1646
82,0.0268,0.0335,0.0297,83.9240,88.0224
83,0.0291,0.0405,0.0500,76.1211,67.9445
84,0.0353,0.0352,0.0194,49.0600,47.6278
85,0.0363,0.0463,0.0265,56.3117,51.4309
86,0.0291,0.0385,0.0303,56.2081,49.5774
87,0.0438,0.0405,0.0283,63.8202,53.6480
88,0.0309,0.0264,0.0232,67.2809,69.8336
89,0.0335,0.0361,0.0332,60.1740,72.8489
90,0.0243,0.0306,0.0367,57.3436,78.3874
91,0.0407,0.0486,0.0333,46.6437,85.6692
92,0.0375,0.0279,0.0345,50.4218,93.9732
93,0.0324,0.0362,0.0352,33.3326,70.6139
94,0.0353,0.0408,0.0210,49.1769,71.9222
95,0.0352,0.0392,0.0179,42.3197,60.1262
96,0.0335,0.0567,0.0434,33.0003,55.4811
97,0.0317,0.0294,0.0151,28.8530,47.9394
98,0.0465,0.0483,0.0459,58.6651,73.6839
99,0.0457,0.0504,0.0277,65.3327,78.9505
100,0.0381,0.0485,0.0290,62.8150,61.1235
101,0.0364,0.0345,0.0326,68.5384,55.0409
102,0.0246,0.0398,0.0361,61.1858,49.7137
103,0.0369,0.0396,0.0323,68.8344,74.4694
104,0.0272,0.0283,0.0424,73.8923,101.7924
105,0.0245,0.0374,0.0412,83.5606,129.1438
106,0.0504,0.0608,0.0310,78.5689,121.2249
107,0.0253,0.0297,0.0307,84.3777,125.7818
108,0.0289,0.0573,0.0405,92.5087,115.8313
109,0.0362,0.0446,0.0363,91.6918,109.4097
110,0.0310,0.0439,0.0375,102.8006,116.1130
