Idx,ActionNr,Rescued
1,43552,1
2,130157,2
3,178834,3
4,190959,4
5,199390,5
6,203967,6
7,211490,7
8,216329,8
9,222421,9
10,229153,10
11,242243,11
12,248119,12
13,253836,13
14,258280,14
15,259278,15
16,266018,16
17,269933,17
18,271739,18
19,280841,19
20,287108,20
21,292258,21
22,292434,22
23,296780,23
24,297669,24
25,302082,25
26,303132,26
27,308099,27
28,312773,28
29,313025,29
30,328792,30
31,333540,31
32,333900,32
33,338770,33
34,339131,34
35,340324,35
36,343729,36
37,344162,37
38,345473,38
39,348598,39
40,348726,40
41,348902,41
42,353041,42
43,353547,43
44,353950,44
45,358587,45
46,359008,46
47,363743,47
48,363916,48
49,364094,49
50,368731,50
51,369091,51
52,373835,52
53,374183,53
54,379446,54
55,383990,55
56,384434,56
57,384580,57
58,384756,58
59,388850,59
60,389815,60
61,389991,61
62,395131,62
63,395326,63
64,400811,64
65,406620,65
66,411982,66
67,417294,67
68,422249,68
69,422444,69
70,427572,70
71,427767,71
72,432619,72
73,432814,73
74,437923,74
75,442635,75
76,442830,76
77,447729,77
78,452758,78
79,462900,79
80,463047,80
81,468721,81
82,474375,82
83,479778,83
84,480676,84
85,481251,85
86,489291,86
87,490104,87
88,501023,88
89,506434,89
90,511811,90
91,512021,91
92,516966,92
93,517233,93
94,518354,94
95,521676,95
96,522315,96
97,522474,97
98,527383,98
99,527440,99
100,527618,100
101,532847,101
102,532919,102
103,533099,103
104,537431,104
105,538121,105
106,538299,106
107,541960,107
108,542686,108
109,546498,109
110,546836,110
111,547297,111
112,547416,112
113,547520,113
114,551204,114
115,552123,115
116,552301,116
117,555765,117
118,556523,118
119,556651,119
120,560263,120
121,561040,121
122,563935,122
123,564948,123
124,565611,124
125,565665,125
126,569226,126
127,571314,127
128,573699,128
129,578777,129
130,579152,130
131,582746,131
132,583619,132
133,585945,133
134,588280,134
135,593069,135
136,593646,136
137,597890,137
138,598515,138
139,601403,139
140,602216,140
141,602931,141
142,604275,142
143,606826,143
144,607787,144
145,608714,145
146,610813,146
147,612898,147
148,615230,148
149,615876,149
150,616050,150
151,617106,151
152,619578,152
153,621963,153
154,624371,154
155,626824,155
156,626917,156
157,630483,157
158,631919,158
159,634589,159
160,635708,160
161,637229,161
162,639609,162
163,640465,163
164,640634,164
165,641729,165
166,644393,166
167,645427,167
168,653755,168
169,655885,169
170,658680,170
171,663779,171
172,668616,172
173,671125,173
174,673580,174
175,674536,175
176,676230,176
177,678708,177
178,679751,178
179,680978,179
180,683493,180
181,684511,181
182,689478,182
183,690632,183
184,693284,184
185,694191,185
186,699149,186
187,707879,187
188,708163,188
189,708620,189
190,712676,190
191,714397,191
192,717080,192
193,717305,193
194,718947,194
195,726231,195
196,730657,196
197,730819,197
198,732693,198
199,735087,199
200,735341,200
201,739861,201
202,744277,202
203,744538,203
204,748630,204
205,748926,205
206,753305,206
207,753561,207
208,757126,208
209,757883,209
210,758150,210
211,762389,211
212,762583,212
213,763206,213
214,767035,214
215,768599,215
216,771503,216
217,773361,217
218,776609,218
219,778473,219
220,783584,220
221,783917,221
222,786763,222
223,792642,223
224,797420,224
225,802592,225
226,807790,226
227,810417,227
228,812928,228
229,815228,229
230,815584,230
231,818141,231
232,820896,232
233,823505,233
234,825679,234
235,826168,235
236,828747,236
237,830944,237
238,831266,238
239,833820,239
240,835886,240
241,836066,241
242,838490,242
243,840572,243
244,843263,244
245,844038,245
246,845473,246
247,845751,247
248,847985,248
249,848614,249
250,850449,250
251,852564,251
252,853251,252
253,854846,253
254,857667,254
255,857802,255
256,859094,256
257,861958,257
258,862136,258
259,863588,259
260,865591,260
261,866611,261
262,866789,262
263,868119,263
264,871228,264
265,871505,265
266,872560,266
267,875867,267
268,876616,268
269,877241,269
270,880387,270
271,885076,271
272,889820,272
273,894535,273
274,899068,274
275,902830,275
276,903641,276
277,907844,277
278,908022,278
279,912333,279
280,917177,280
281,920966,281
282,921812,282
283,925470,283
284,926552,284
285,927457,285
286,929453,286
287,930476,287
288,931518,288
289,934989,289
290,935326,290
291,937785,291
292,940189,292
293,941135,293
294,941313,294
295,945112,295
296,945414,296
297,946231,297
298,947761,298
299,951277,299
300,952743,300
301,953130,301
302,955574,302
303,956494,303
304,957976,304
305,961233,305
306,962561,306
307,965207,307
308,966094,308
309,967418,309
310,969002,310
311,969768,311
312,969985,312
313,970942,313
314,972326,314
315,974603,315
316,975362,316
317,975546,317
318,976574,318
319,976745,319
320,978146,320
321,978982,321
322,980037,322
323,981003,323
324,983645,324
325,984549,325
326,985666,326
327,988405,327
328,989361,328
329,990615,329
330,994120,330
331,995123,331
332,995387,332
333,996492,333
334,997411,334
335,998371,335
336,999385,336
337,999454,337
338,1001574,338
339,1002631,339
340,1003733,340
341,1006985,341
342,1007784,342
343,1012446,343
344,1012540,344
345,1016890,345
346,1019220,346
347,1021298,347
348,1026113,348
349,1030910,349
350,1031169,350
351,1032271,351
352,1033167,352
353,1035385,353
354,1037572,354
355,1038847,355
356,1039844,356
357,1040080,357
358,1041780,358
359,1043889,359
360,1044055,360
361,1046207,361
362,1048332,362
363,1048581,363
364,1050738,364
365,1051844,365
366,1053041,366
367,1053438,367
368,1055492,368
369,1056576,369
370,1057483,370
371,1057930,371
372,1058944,372
373,1061030,373
374,1062392,374
375,1065720,375
376,1066984,376
377,1068420,377
378,1070145,378
379,1071141,379
380,1071490,380
381,1073635,381
382,1074762,382
383,1076172,383
384,1083191,384
385,1087994,385
386,1092942,386
387,1097927,387
388,1100431,388
389,1103201,389
390,1108303,390
391,1119237,391
392,1130850,392
393,1132804,393
394,1133290,394
395,1140076,395
396,1143523,396
397,1145014,397
398,1150710,398
399,1155470,399
400,1160317,400
401,1163848,401
402,1165036,402
403,1165549,403
404,1168469,404
405,1169750,405
406,1174960,406
407,1175353,407
408,1177450,408
409,1179020,409
410,1180225,410
411,1180797,411
412,1184267,412
413,1185742,413
414,1186304,414
415,1189629,415
416,1191248,416
417,1191759,417
418,1195401,418
419,1196939,419
420,1197335,420
421,1199497,421
422,1200881,422
423,1202345,423
424,1202783,424
425,1205026,425
426,1206475,426
427,1207871,427
428,1210504,428
429,1210839,429
430,1211909,430
431,1213512,431
432,1217423,432
433,1219239,433
434,1221361,434
435,1221561,435
436,1221965,436
437,1222628,437
438,1224124,438
439,1224760,439
440,1228265,440
441,1229876,441
442,1230184,442
443,1232278,443
444,1233884,444
445,1235818,445
446,1238153,446
447,1238787,447
448,1240636,448
449,1242592,449
450,1243549,450
451,1244957,451
452,1245253,452
453,1247159,453
454,1247471,454
455,1248184,455
456,1248298,456
457,1249519,457
458,1252990,458
459,1253167,459
460,1254213,460
461,1254565,461
