Idx,ActionNr,Rescued
1,50837.0000,2.0000
2,101675.0000,2.0000
3,152512.0000,5.0000
4,203350.0000,8.0000
5,254187.0000,14.0000
6,305025.0000,26.0000
7,355862.0000,56.0000
8,406700.0000,83.0000
9,457537.0000,106.0000
10,508375.0000,124.0000
11,559212.0000,144.0000
12,610050.0000,160.0000
13,660887.0000,160.0000
14,711725.0000,170.0000
15,762562.0000,184.0000
16,813400.0000,197.0000
17,864237.0000,229.0000
18,915075.0000,260.0000
19,965912.0000,295.0000
20,1016750.0000,324.0000
21,1067587.0000,338.0000
22,1118425.0000,354.0000
23,1169262.0000,387.0000
24,1220100.0000,408.0000
25,1270937.0000,440.0000
26,1321775.0000,504.0000
27,1372612.0000,537.0000
28,1423450.0000,581.0000
29,1474287.0000,652.0000
30,1525125.0000,748.0000
31,1575962.0000,829.0000
32,1626800.0000,906.0000
33,1677637.0000,974.0000
34,1728474.0000,1018.0000
35,1779312.0000,1073.0000
36,1830149.0000,1146.0000
37,1880987.0000,1260.0000
38,1931824.0000,1378.0000
39,1982662.0000,1469.0000
40,2033499.0000,1570.0000
41,2084337.0000,1667.0000
42,2135174.0000,1756.0000
43,2186012.0000,1821.0000
44,2236849.0000,1917.0000
45,2287687.0000,2030.0000
46,2338524.0000,2124.0000
47,2389362.0000,2235.0000
48,2440199.0000,2337.0000
49,2491037.0000,2434.0000
50,2541874.0000,2549.0000
51,2592712.0000,2712.0000
52,2643549.0000,2856.0000
53,2694387.0000,3008.0000
54,2745224.0000,3172.0000
55,2796062.0000,3317.0000
56,2846899.0000,3427.0000
57,2897737.0000,3516.0000
58,2948574.0000,3665.0000
59,2999412.0000,3789.0000
60,3050249.0000,3957.0000
61,3101087.0000,4109.0000
62,3151924.0000,4307.0000
63,3202762.0000,4498.0000
64,3253599.0000,4719.0000
65,3304437.0000,4923.0000
66,3355274.0000,5165.0000
67,3406111.0000,5390.0000
68,3456949.0000,5585.0000
69,3507786.0000,5833.0000
70,3558624.0000,5986.0000
71,3609461.0000,6104.0000
72,3660299.0000,6309.0000
73,3711136.0000,6552.0000
74,3761974.0000,6727.0000
75,3812811.0000,6924.0000
76,3863649.0000,7125.0000
77,3914486.0000,7401.0000
78,3965324.0000,7691.0000
79,4016161.0000,7943.0000
80,4066999.0000,8189.0000
81,4117836.0000,8425.0000
82,4168674.0000,8638.0000
83,4219511.0000,8885.0000
84,4270349.0000,9156.0000
85,4321186.0000,9435.0000
86,4372024.0000,9649.0000
87,4422861.0000,9941.0000
88,4473699.0000,10276.0000
89,4524536.0000,10638.0000
90,4575374.0000,10989.0000
91,4626211.0000,11329.0000
92,4677049.0000,11719.0000
93,4727886.0000,12061.0000
94,4778724.0000,12330.0000
95,4829561.0000,12662.0000
96,4880399.0000,12974.0000
97,4931236.0000,13274.0000
98,4982074.0000,13513.0000
99,5032911.0000,13784.0000
100,5083748.0000,14053.0000
101,5134586.0000,14342.0000
102,5185423.0000,14631.0000
103,5236261.0000,14939.0000
104,5287098.0000,15212.0000
105,5337936.0000,15567.0000
106,5388773.0000,15949.0000
107,5439611.0000,16211.0000
108,5490448.0000,16524.0000
109,5541286.0000,16849.0000
110,5592123.0000,17117.0000
111,5642961.0000,17452.0000
112,5693798.0000,17767.0000
113,5744636.0000,18167.0000
114,5795473.0000,18613.0000
115,5846311.0000,19042.0000
116,5897148.0000,19377.0000
117,5947986.0000,19621.0000
118,5998823.0000,19915.0000
119,6049661.0000,20174.0000
120,6100498.0000,20488.0000
121,6151336.0000,20790.0000
122,6202173.0000,21093.0000
123,6253011.0000,21443.0000
124,6303848.0000,21843.0000
125,6354686.0000,22167.0000
126,6405523.0000,22506.0000
127,6456361.0000,22867.0000
128,6507198.0000,23291.0000
129,6558036.0000,23666.0000
130,6608873.0000,24008.0000
131,6659711.0000,24393.0000
132,6710548.0000,24766.0000
133,6761386.0000,25133.0000
134,6812223.0000,25526.0000
135,6863060.0000,25937.0000
136,6913898.0000,26376.0000
137,6964735.0000,26837.0000
138,7015573.0000,27392.0000
139,7066410.0000,27855.0000
140,7117248.0000,28294.0000
141,7168085.0000,28677.0000
142,7218923.0000,29073.0000
143,7269760.0000,29558.0000
144,7320598.0000,30106.0000
145,7371435.0000,30566.0000
146,7422273.0000,31099.0000
147,7473110.0000,31624.0000
148,7523948.0000,32078.0000
149,7574785.0000,32502.0000
150,7625623.0000,32916.0000
151,7676460.0000,33342.0000
152,7727298.0000,33792.0000
153,7778135.0000,34234.0000
154,7828973.0000,34690.0000
155,7879810.0000,35148.0000
156,7930648.0000,35612.0000
157,7981485.0000,36039.0000
158,8032323.0000,36402.0000
159,8083160.0000,36790.0000
160,8133998.0000,37219.0000
161,8184835.0000,37718.0000
162,8235673.0000,38304.0000
163,8286510.0000,38845.0000
164,8337348.0000,39263.0000
165,8388185.0000,39721.0000
166,8439023.0000,40196.0000
167,8489860.0000,40725.0000
168,8540697.0000,41241.0000
169,8591535.0000,41795.0000
170,8642372.0000,42356.0000
171,8693210.0000,43007.0000
172,8744047.0000,43455.0000
173,8794885.0000,43860.0000
174,8845722.0000,44305.0000
175,8896560.0000,44692.0000
176,8947397.0000,45162.0000
177,8998235.0000,45675.0000
178,9049072.0000,46208.0000
179,9099910.0000,46706.0000
180,9150747.0000,47219.0000
181,9201585.0000,47698.0000
182,9252422.0000,48161.0000
183,9303260.0000,48610.0000
184,9354097.0000,49052.0000
185,9404935.0000,49561.0000
186,9455772.0000,50048.0000
187,9506610.0000,50515.0000
188,9557447.0000,50976.0000
189,9608285.0000,51432.0000
190,9659122.0000,51878.0000
191,9709960.0000,52386.0000
192,9760797.0000,52879.0000
193,9811635.0000,53426.0000
194,9862472.0000,53926.0000
195,9913310.0000,54464.0000
196,9964147.0000,54957.0000
197,10014985.0000,55395.0000
198,10065822.0000,55960.0000
199,10116660.0000,56504.0000
200,10167497.0000,57106.0000
