Idx,ActionNr,Rescued
1,27385.0000,
2,54770.0000,
3,82155.0000,
4,109540.0000,
5,136925.0000,
6,164310.0000,
7,191695.0000,4.1000
8,219080.0000,6.7000
9,246464.0000,10.0000
10,273849.0000,15.4000
11,301234.0000,23.0000
12,328619.0000,31.8000
13,356004.0000,43.4000
14,383389.0000,58.0000
15,410774.0000,76.1000
16,438159.0000,96.0000
17,465544.0000,119.7000
18,492929.0000,148.4000
19,520314.0000,180.8000
20,547699.0000,217.2000
21,575084.0000,257.8000
22,602469.0000,301.2000
23,629854.0000,350.3000
24,657239.0000,401.6000
25,684624.0000,455.9000
26,712008.0000,515.0000
27,739393.0000,577.5000
28,766778.0000,646.5000
29,794163.0000,717.1000
30,821548.0000,797.7000
31,848933.0000,887.2000
32,876318.0000,980.8000
33,903703.0000,1079.6000
34,931088.0000,1186.1000
35,958473.0000,1299.2000
36,985858.0000,1417.6000
37,1013243.0000,1541.6000
38,1040628.0000,1670.8000
39,1068013.0000,1807.9000
40,1095398.0000,1946.8000
41,1122783.0000,2094.4000
42,1150167.0000,2244.9000
43,1177552.0000,2410.0000
44,1204937.0000,2585.4000
45,1232322.0000,2760.7000
46,1259707.0000,2945.4000
47,1287092.0000,3139.5000
48,1314477.0000,3339.8000
49,1341862.0000,3542.6000
50,1369247.0000,3760.0000
51,1396632.0000,3977.4000
52,1424017.0000,4204.1000
53,1451402.0000,4436.5000
54,1478787.0000,4680.5000
55,1506172.0000,4926.9000
56,1533557.0000,5178.6000
57,1560942.0000,5438.7000
58,1588327.0000,5708.5000
59,1615711.0000,5989.0000
60,1643096.0000,6275.6000
61,1670481.0000,6577.3000
62,1697866.0000,6876.9000
63,1725251.0000,7188.8000
64,1752636.0000,7510.1000
65,1780021.0000,7847.6000
66,1807406.0000,8204.5000
67,1834791.0000,8580.6000
68,1862176.0000,8957.6000
69,1889561.0000,9342.4000
70,1916946.0000,9731.2000
71,1944331.0000,10141.4000
72,1971716.0000,10569.3000
73,1999101.0000,11000.2000
74,2026486.0000,11435.3000
75,2053870.0000,11881.5000
76,2081255.0000,12339.4000
77,2108640.0000,12811.9000
78,2136025.0000,13294.0000
79,2163410.0000,13795.9000
80,2190795.0000,14301.4000
81,2218180.0000,14825.3000
82,2245565.0000,15362.5000
83,2272950.0000,15910.4000
84,2300335.0000,16470.5000
