Idx,ActionNr,Rescued
1,0.0000,
2,0.0000,
3,0.0000,
4,0.0000,
5,0.0000,
6,0.0000,
7,0.0000,2.5865
8,0.0000,4.3370
9,0.0000,6.4343
10,0.0000,9.6042
11,0.0000,12.7906
12,0.0000,16.6601
13,0.0000,20.8672
14,0.0000,25.0400
15,0.0000,30.4810
16,0.0000,35.7994
17,0.0000,39.7544
18,0.0000,44.3152
19,0.0000,49.1707
20,0.0000,56.2526
21,0.0000,65.2408
22,0.0000,76.2428
23,0.0000,88.7965
24,0.0000,99.7328
25,0.0000,110.5391
26,0.0000,124.6026
27,0.0000,136.4934
28,0.0000,149.9021
29,0.0000,165.6161
30,0.0000,182.6188
31,0.0000,199.1742
32,0.0000,216.4439
33,0.0000,234.1765
34,0.0000,251.7401
35,0.0000,267.8107
36,0.0000,287.8083
37,0.0000,309.8245
38,0.0000,334.3880
39,0.0000,351.7171
40,0.0000,371.8464
41,0.0000,394.6100
42,0.0000,419.4974
43,0.0000,442.7907
44,0.0000,466.5392
45,0.0000,493.8239
46,0.0000,522.0943
47,0.0000,554.8400
48,0.0000,586.9502
49,0.0000,615.1472
50,0.0000,644.1550
51,0.0000,673.4485
52,0.0000,705.3705
53,0.0000,734.0183
54,0.0000,763.3228
55,0.0000,799.5657
56,0.0000,833.4369
57,0.0000,866.1643
58,0.0000,898.8921
59,0.0000,937.9989
60,0.0000,974.3074
61,0.0000,1021.6275
62,0.0000,1069.6395
63,0.0000,1121.2703
64,0.0000,1175.1796
65,0.0000,1226.2719
66,0.0000,1279.4533
67,0.0000,1345.6165
68,0.0000,1411.1916
69,0.0000,1465.7115
70,0.0000,1515.2293
71,0.0000,1572.2261
72,0.0000,1629.2890
73,0.0000,1686.5398
74,0.0000,1740.5715
75,0.0000,1797.1837
76,0.0000,1857.9777
77,0.0000,1921.3078
78,0.0000,1986.1892
79,0.0000,2051.6583
80,0.0000,2131.7365
81,0.0000,2212.5077
82,0.0000,2290.6492
83,0.0000,2383.1269
84,0.0000,2474.5079
85,0.0000,2557.8448
86,0.0000,2635.0133
87,0.0000,2719.8673
88,0.0000,2809.9096
89,0.0000,2902.6905
90,0.0000,2993.5761
91,0.0000,3086.4562
92,0.0000,3189.4404
93,0.0000,3309.5456
94,0.0000,3434.6780
95,0.0000,3562.7489
96,0.0000,3704.1921
97,0.0000,3842.2580
98,0.0000,3988.1669
99,0.0000,4144.0130
100,0.0000,4306.3704
101,0.0000,4470.3304
102,0.0000,4635.0655
103,0.0000,4796.0849
104,0.0000,4964.8516
105,0.0000,5139.3043
106,0.0000,5321.1581
107,0.0000,5492.1783
108,0.0000,5657.9811
109,0.0000,5815.9200
110,0.0000,5958.9511
111,0.0000,6109.4929
112,0.0000,6263.4905
113,0.0000,6400.7559
114,0.0000,6530.2826
115,0.0000,6653.0723
116,0.0000,6766.1277
117,0.0000,6896.0365
118,0.0000,7031.3172
119,0.0000,7158.5345
120,0.0000,7282.8971
121,0.0000,7419.2122
122,0.0000,7553.2283
123,0.0000,7676.1484
124,0.0000,7801.5765
125,0.0000,7929.4800
126,0.0000,8045.7819
127,0.0000,8154.1719
128,0.0000,8262.4362
129,0.0000,8368.9360
130,0.0000,8479.2430
131,0.0000,8580.9160
132,0.0000,8673.7535
133,0.0000,8772.6810
134,0.0000,8878.6657
135,0.0000,8982.5078
136,0.0000,9083.6708
137,0.0000,9189.5795
138,0.0000,9287.1456
139,0.0000,9382.0119
140,0.0000,9464.8789
141,0.0000,9561.5002
142,0.0000,9640.5966
143,0.0000,9705.6826
144,0.0000,9765.1449
145,0.0000,9828.0003
146,0.0000,9889.8315
147,0.0000,9946.2011
148,0.0000,9991.3481
149,0.0000,10033.0771
150,0.0000,10071.5281
151,0.0000,10118.7159
152,0.0000,10158.4395
153,0.0000,10199.5907
154,0.0000,10236.7779
155,0.0000,10282.5044
156,0.0000,10325.9109
157,0.0000,10367.9769
158,0.0000,10411.7058
159,0.0000,10456.4250
160,0.0000,10500.7393
161,0.0000,10546.3144
162,0.0000,10594.0034
163,0.0000,10636.8518
164,0.0000,10675.0720
165,0.0000,10710.0568
166,0.0000,10748.2108
167,0.0000,10792.3412
168,0.0000,10825.7291
169,0.0000,10857.9060
170,0.0000,10892.7496
171,0.0000,10927.6871
172,0.0000,10960.3991
173,0.0000,10995.0112
174,0.0000,11034.3589
175,0.0000,11071.1250
176,0.0000,11103.2925
177,0.0000,11134.8205
178,0.0000,11169.5367
179,0.0000,11200.1570
180,0.0000,11233.8170
181,0.0000,11267.1152
182,0.0000,11289.0160
183,0.0000,11308.8922
184,0.0000,11112.7420
185,0.0000,10875.8470
186,0.0000,10648.5064
187,0.0000,10433.7285
188,0.0000,10133.8946
189,0.0000,9631.0478
190,0.0000,9075.7396
191,0.0000,8418.9983
192,0.0000,7765.2646
193,0.0000,7146.0062
194,0.0000,6498.9520
195,0.0000,5807.3232
196,0.0000,5131.5083
197,0.0000,4471.6094
198,0.0000,3910.9606
199,0.0000,3393.0062
200,0.0000,3111.7677
