EpisodeNr,RescuedRatio,TornsRatio,BoredomRatio,TimeInActions,TotalReward
1,0.0000,1.0000,0.0000,26.1000,-815.7000
2,0.0000,1.0000,0.0000,26.2000,-815.8000
3,0.0000,1.0000,0.0000,26.9667,-816.6000
4,0.0000,1.0000,0.0000,25.1250,-814.7750
5,0.0000,1.0000,0.0000,23.5600,-813.2200
6,0.0000,1.0000,0.0000,23.8667,-813.5167
7,0.0000,1.0000,0.0000,24.0000,-813.6571
8,0.0000,1.0000,0.0000,24.1625,-813.8250
9,0.0000,0.9981,0.0019,25.1444,-814.8111
10,0.0000,0.9983,0.0017,24.6600,-814.3100
11,0.0000,0.9985,0.0015,24.3091,-813.9909
12,0.0000,0.9986,0.0014,24.3750,-814.0500
13,0.0000,0.9987,0.0013,24.4231,-814.1000
14,0.0000,0.9988,0.0012,24.4929,-814.1714
15,0.0000,0.9989,0.0011,24.0200,-813.7000
16,0.0000,0.9990,0.0010,24.0312,-813.7125
17,0.0000,0.9990,0.0010,24.5000,-814.1706
18,0.0000,0.9991,0.0009,24.4889,-814.1611
19,0.0000,0.9991,0.0009,24.2789,-813.9526
20,0.0000,0.9992,0.0008,23.9300,-813.6050
21,0.0000,0.9992,0.0008,23.9905,-813.6667
22,0.0000,0.9992,0.0008,24.5045,-814.1818
23,0.0000,0.9993,0.0007,24.5565,-814.2348
24,0.0000,0.9993,0.0007,24.6083,-814.2667
25,0.0000,0.9993,0.0007,24.3280,-813.9880
26,0.0000,0.9993,0.0007,24.2000,-813.8640
27,0.0000,0.9993,0.0007,23.8640,-813.5320
28,0.0000,0.9987,0.0013,23.8720,-813.5520
29,0.0000,0.9987,0.0013,24.1000,-813.7800
30,0.0000,0.9987,0.0013,24.1120,-813.7920
31,0.0000,0.9987,0.0013,23.9720,-813.6480
32,0.0000,0.9987,0.0013,23.7680,-813.4440
33,0.0000,0.9987,0.0013,23.7240,-813.4000
34,0.0000,0.9993,0.0007,23.2680,-812.9440
35,0.0000,0.9993,0.0007,23.4760,-813.1600
36,0.0000,0.9993,0.0007,23.4280,-813.0840
37,0.0000,0.9993,0.0007,23.1800,-812.8400
38,0.0000,0.9993,0.0007,22.8960,-812.5560
39,0.0000,0.9993,0.0007,22.9120,-812.5680
40,0.0000,0.9993,0.0007,22.9560,-812.6120
41,0.0000,0.9993,0.0007,22.7360,-812.3920
42,0.0000,0.9993,0.0007,22.2840,-811.9480
43,0.0000,0.9993,0.0007,22.0240,-811.6880
44,0.0000,0.9993,0.0007,22.2440,-811.9080
45,0.0000,0.9993,0.0007,22.3480,-812.0120
46,0.0000,0.9993,0.0007,22.1040,-811.7640
47,0.0000,0.9993,0.0007,21.4600,-811.1200
48,0.0000,0.9993,0.0007,21.1440,-810.8040
49,0.0000,0.9993,0.0007,21.0520,-810.7120
50,0.0000,0.9993,0.0007,21.1120,-810.7680
51,0.0000,0.9993,0.0007,20.9720,-810.6280
52,0.0000,0.9993,0.0007,21.0040,-810.6600
53,0.0000,1.0000,0.0000,20.6000,-810.2440
54,0.0000,1.0000,0.0000,20.3120,-809.9560
55,0.0000,1.0000,0.0000,20.3720,-810.0160
56,0.0000,1.0000,0.0000,20.2160,-809.8680
57,0.0000,1.0000,0.0000,20.1920,-809.8440
58,0.0000,1.0000,0.0000,19.9840,-809.6360
59,0.0000,1.0000,0.0000,19.9080,-809.5560
60,0.0000,1.0000,0.0000,19.6400,-809.2880
61,0.0000,1.0000,0.0000,19.6560,-809.3000
62,0.0000,1.0000,0.0000,19.6320,-809.2760
63,0.0000,1.0000,0.0000,20.0080,-809.6520
64,0.0000,1.0000,0.0000,19.7600,-809.4080
65,0.0000,1.0000,0.0000,19.7960,-809.4560
66,0.0000,0.9993,0.0007,20.3840,-810.0440
67,0.0000,0.9993,0.0007,20.3400,-810.0000
68,0.0000,0.9993,0.0007,20.7200,-810.3760
69,0.0000,0.9993,0.0007,20.4920,-810.1480
70,0.0000,0.9993,0.0007,20.7880,-810.4440
71,0.0000,0.9993,0.0007,20.8120,-810.4720
72,0.0000,0.9993,0.0007,20.8360,-810.4960
73,0.0000,0.9993,0.0007,20.9160,-810.5760
74,0.0000,0.9993,0.0007,20.7920,-810.4560
75,0.0000,0.9993,0.0007,20.8080,-810.4760
76,0.0000,0.9993,0.0007,20.8000,-810.4680
77,0.0000,0.9993,0.0007,20.8400,-810.5080
78,0.0000,0.9993,0.0007,20.9680,-810.6360
79,0.0000,0.9993,0.0007,21.1440,-810.8120
80,0.0000,0.9993,0.0007,21.2120,-810.8800
81,0.0000,0.9993,0.0007,21.5360,-811.2040
82,0.0000,0.9993,0.0007,21.7240,-811.3920
83,0.0000,0.9993,0.0007,21.8120,-811.4800
84,0.0000,0.9993,0.0007,21.8120,-811.4840
85,0.0000,0.9993,0.0007,22.1360,-811.8160
86,0.0000,0.9993,0.0007,22.1240,-811.8240
87,0.0000,0.9993,0.0007,22.2320,-811.9280
88,0.0000,0.9993,0.0007,21.9520,-811.6480
89,0.0000,0.9993,0.0007,21.9640,-811.6600
90,0.0000,0.9993,0.0007,22.0760,-811.7320
91,0.0000,1.0000,0.0000,21.5480,-811.2040
92,0.0000,1.0000,0.0000,21.6200,-811.2760
93,0.0000,1.0000,0.0000,21.3760,-811.0320
94,0.0000,1.0000,0.0000,21.4160,-811.0720
95,0.0000,1.0000,0.0000,21.1560,-810.8120
