EpisodeNr,RescuedRatio,TornsRatio,BoredomRatio,TimeInActions,TotalReward
1,0.0000,0.0000,0.0000,23.2527,23.0002
2,0.0000,0.0000,0.0000,23.2198,22.9687
3,0.0000,0.0000,0.0000,23.0596,22.9196
4,0.0000,0.0000,0.0000,17.5415,17.4461
5,0.0000,0.0000,0.0000,14.0176,13.9389
6,0.0000,0.0000,0.0000,15.4395,15.3336
7,0.0000,0.0000,0.0000,16.4481,16.3654
8,0.0000,0.0000,0.0000,17.1934,17.1292
9,0.0000,0.0056,0.0056,17.3979,17.3614
10,0.0000,0.0050,0.0050,16.3553,16.3272
11,0.0000,0.0045,0.0045,15.9023,15.8761
12,0.0000,0.0042,0.0042,16.4470,16.4328
13,0.0000,0.0038,0.0038,16.9080,16.8994
14,0.0000,0.0036,0.0036,17.2996,17.2963
15,0.0000,0.0033,0.0033,16.1922,16.1914
16,0.0000,0.0031,0.0031,16.6046,16.6076
17,0.0000,0.0029,0.0029,16.8185,16.8343
18,0.0000,0.0028,0.0028,17.1523,17.1697
19,0.0000,0.0026,0.0026,16.6852,16.7024
20,0.0000,0.0025,0.0025,15.8446,15.8609
21,0.0000,0.0024,0.0024,16.1567,16.1761
22,0.0000,0.0023,0.0023,16.3195,16.3502
23,0.0000,0.0022,0.0022,16.5764,16.6086
24,0.0000,0.0021,0.0021,16.8326,16.8648
25,0.0000,0.0020,0.0020,16.1378,16.1689
26,0.0000,0.0020,0.0020,15.9221,15.9648
27,0.0000,0.0020,0.0020,15.0601,15.1128
28,0.0000,0.0040,0.0040,14.5664,14.6226
29,0.0000,0.0040,0.0040,15.4505,15.5076
30,0.0000,0.0040,0.0040,15.4877,15.5448
31,0.0000,0.0040,0.0040,14.6665,14.7387
32,0.0000,0.0040,0.0040,14.1144,14.1851
33,0.0000,0.0040,0.0040,14.0176,14.0878
34,0.0000,0.0020,0.0020,13.7194,13.7813
35,0.0000,0.0020,0.0020,14.3519,14.4148
36,0.0000,0.0020,0.0020,14.0275,14.1001
37,0.0000,0.0020,0.0020,13.2785,13.3461
38,0.0000,0.0020,0.0020,12.4572,12.5224
39,0.0000,0.0020,0.0020,11.6598,11.7321
40,0.0000,0.0020,0.0020,11.6536,11.7260
41,0.0000,0.0020,0.0020,10.8988,10.9682
42,0.0000,0.0020,0.0020,10.2379,10.2911
43,0.0000,0.0020,0.0020,9.5148,9.5626
44,0.0000,0.0020,0.0020,9.3171,9.3759
45,0.0000,0.0020,0.0020,9.5086,9.5660
46,0.0000,0.0020,0.0020,8.8067,8.8599
47,0.0000,0.0020,0.0020,8.1288,8.1637
48,0.0000,0.0020,0.0020,7.3123,7.3367
49,0.0000,0.0020,0.0020,6.6566,6.6791
50,0.0000,0.0020,0.0020,6.8129,6.8373
51,0.0000,0.0020,0.0020,6.2549,6.2809
52,0.0000,0.0020,0.0020,6.3318,6.3594
53,0.0000,0.0000,0.0000,6.1406,6.1409
54,0.0000,0.0000,0.0000,5.5149,5.4977
55,0.0000,0.0000,0.0000,5.6581,5.6474
56,0.0000,0.0000,0.0000,5.6137,5.5961
57,0.0000,0.0000,0.0000,5.4703,5.4496
58,0.0000,0.0000,0.0000,4.9446,4.9131
59,0.0000,0.0000,0.0000,4.6304,4.5947
60,0.0000,0.0000,0.0000,4.0157,3.9619
61,0.0000,0.0000,0.0000,4.0311,3.9410
62,0.0000,0.0000,0.0000,4.0208,3.9316
63,0.0000,0.0000,0.0000,3.9426,3.8823
64,0.0000,0.0000,0.0000,4.0845,4.0031
65,0.0000,0.0000,0.0000,4.1401,4.0658
66,0.0000,0.0020,0.0020,4.8218,4.7753
67,0.0000,0.0020,0.0020,4.8111,4.7609
68,0.0000,0.0020,0.0020,4.8568,4.8388
69,0.0000,0.0020,0.0020,4.8919,4.8541
70,0.0000,0.0020,0.0020,4.8826,4.8743
71,0.0000,0.0020,0.0020,4.8776,4.8688
72,0.0000,0.0020,0.0020,4.8308,4.8237
73,0.0000,0.0020,0.0020,4.9186,4.9137
74,0.0000,0.0020,0.0020,4.7325,4.7609
75,0.0000,0.0020,0.0020,4.7492,4.7838
76,0.0000,0.0020,0.0020,4.7066,4.7283
77,0.0000,0.0020,0.0020,4.7121,4.7380
78,0.0000,0.0020,0.0020,4.8133,4.8470
79,0.0000,0.0020,0.0020,4.9530,4.9941
80,0.0000,0.0020,0.0020,4.9505,4.9910
81,0.0000,0.0020,0.0020,5.3966,5.4318
82,0.0000,0.0020,0.0020,5.6846,5.7268
83,0.0000,0.0020,0.0020,5.7115,5.7439
84,0.0000,0.0020,0.0020,5.6627,5.6891
85,0.0000,0.0020,0.0020,6.3038,6.3457
86,0.0000,0.0020,0.0020,6.2878,6.3477
87,0.0000,0.0020,0.0020,6.3207,6.3722
88,0.0000,0.0020,0.0020,6.1754,6.2125
89,0.0000,0.0020,0.0020,6.1271,6.1620
90,0.0000,0.0020,0.0020,6.1648,6.1783
91,0.0000,0.0000,0.0000,5.7390,5.7295
92,0.0000,0.0000,0.0000,5.7332,5.7332
93,0.0000,0.0000,0.0000,5.7747,5.7512
94,0.0000,0.0000,0.0000,5.7843,5.7585
95,0.0000,0.0000,0.0000,6.0107,5.9757
96,0.0000,0.0000,0.0000,6.0311,5.9966
97,0.0000,0.0000,0.0000,6.0889,6.0517
98,0.0000,0.0000,0.0000,6.1206,6.0909
99,0.0000,0.0000,0.0000,6.0102,5.9685
100,0.0000,0.0000,0.0000,6.0077,5.9651
101,0.0000,0.0000,0.0000,6.1068,6.0627
102,0.0000,0.0000,0.0000,6.1164,6.0632
103,0.0000,0.0000,0.0000,6.0446,5.9917
104,0.0000,0.0000,0.0000,5.8233,5.7683
105,0.0000,0.0000,0.0000,6.5103,6.4753
106,0.0000,0.0000,0.0000,5.9177,5.8855
107,0.0000,0.0000,0.0000,5.5402,5.5022
108,0.0000,0.0000,0.0000,5.5209,5.4938
109,0.0000,0.0000,0.0000,5.6309,5.6078
110,0.0000,0.0000,0.0000,5.0252,4.9727
111,0.0000,0.0000,0.0000,5.0549,5.0096
112,0.0000,0.0020,0.0020,5.3544,5.3319
113,0.0000,0.0020,0.0020,5.3210,5.3043
114,0.0000,0.0020,0.0020,5.3418,5.3255
115,0.0000,0.0020,0.0020,5.3212,5.3341
116,0.0000,0.0020,0.0020,5.2829,5.2997
117,0.0000,0.0020,0.0020,5.2796,5.2979
118,0.0000,0.0020,0.0020,5.2690,5.2843
119,0.0000,0.0020,0.0020,5.2403,5.2586
120,0.0000,0.0020,0.0020,5.2073,5.2217
121,0.0000,0.0020,0.0020,5.0668,5.0882
122,0.0000,0.0020,0.0020,4.9650,4.9917
123,0.0000,0.0020,0.0020,4.9187,4.9443
124,0.0000,0.0020,0.0020,5.0556,5.0909
125,0.0000,0.0020,0.0020,4.9811,5.0347
126,0.0000,0.0020,0.0020,5.2252,5.2957
127,0.0000,0.0020,0.0020,5.8690,5.9616
128,0.0000,0.0020,0.0020,5.7123,5.8042
129,0.0000,0.0020,0.0020,5.6740,5.7707
130,0.0000,0.0020,0.0020,5.0049,5.0977
131,0.0000,0.0020,0.0020,4.9807,5.0790
132,0.0000,0.0040,0.0040,5.4422,5.5567
133,0.0000,0.0040,0.0040,5.4738,5.5927
134,0.0000,0.0040,0.0040,5.4339,5.5577
135,0.0000,0.0040,0.0040,5.4354,5.5607
136,0.0000,0.0040,0.0040,5.3983,5.5241
137,0.0000,0.0020,0.0020,4.8855,4.9959
138,0.0000,0.0020,0.0020,4.8047,4.9087
139,0.0000,0.0020,0.0020,4.7655,4.8769
140,0.0000,0.0020,0.0020,5.3594,5.4873
141,0.0000,0.0027,0.0027,5.1892,5.1870
142,0.0000,0.0027,0.0027,5.1858,5.1866
143,0.0000,0.0027,0.0027,5.1387,5.1487
144,0.0000,0.0027,0.0027,5.1422,5.1624
145,0.0000,0.0027,0.0027,5.1460,5.1666
146,0.0000,0.0027,0.0027,5.2460,5.2655
147,0.0000,0.0027,0.0027,5.9309,5.9514
148,0.0000,0.0027,0.0027,5.9460,5.9678
149,0.0000,0.0031,0.0031,5.7639,5.8061
150,0.0000,0.0031,0.0031,5.7869,5.8263
151,0.0000,0.0031,0.0031,5.5470,5.5829
152,0.0000,0.0031,0.0031,4.9441,4.9668
153,0.0000,0.0031,0.0031,5.0520,5.0812
154,0.0000,0.0031,0.0031,5.0152,5.0417
155,0.0000,0.0031,0.0031,5.0052,5.0330
156,0.0000,0.0031,0.0031,5.0076,5.0293
157,0.0000,0.0027,0.0027,4.6921,4.6986
158,0.0000,0.0027,0.0027,4.4404,4.4719
159,0.0000,0.0027,0.0027,4.4727,4.5291
160,0.0000,0.0027,0.0027,4.6235,4.7067
161,0.0000,0.0027,0.0027,5.0216,5.1221
162,0.0000,0.0027,0.0027,5.4891,5.6115
163,0.0000,0.0043,0.0043,6.0333,6.0163
164,0.0000,0.0043,0.0043,6.7225,6.7282
165,0.0000,0.0043,0.0043,7.1999,7.1999
166,0.0000,0.0027,0.0027,7.5060,7.5896
167,0.0000,0.0027,0.0027,8.2532,8.3409
168,0.0000,0.0031,0.0031,8.2084,8.3002
169,0.0000,0.0031,0.0031,9.0007,9.0902
170,0.0000,0.0031,0.0031,9.6027,9.6946
171,0.0000,0.0031,0.0031,9.6004,9.6866
172,0.0000,0.0031,0.0031,10.0952,10.1807
173,0.0000,0.0033,0.0033,10.5975,10.7008
174,0.0000,0.0033,0.0033,11.6025,11.7031
175,0.0000,0.0033,0.0033,12.5821,12.6745
176,0.0000,0.0033,0.0033,12.6467,12.7364
177,0.0000,0.0033,0.0033,12.6842,12.7654
178,0.0000,0.0033,0.0033,13.4199,13.5030
179,0.0000,0.0045,0.0045,14.2750,14.3673
180,0.0000,0.0045,0.0045,15.1719,15.2639
181,0.0000,0.0045,0.0045,16.0479,16.1381
182,0.0000,0.0045,0.0045,17.1253,17.2126
183,0.0000,0.0053,0.0053,17.2316,17.3185
184,0.0000,0.0067,0.0067,17.1913,17.2865
185,0.0000,0.0083,0.0083,16.6746,16.7713
186,0.0000,0.0101,0.0101,16.0586,16.1556
187,0.0000,0.0119,0.0119,16.3316,16.4280
188,0.0000,0.0140,0.0140,16.5640,16.6925
189,0.0000,0.0159,0.0159,17.1104,17.2217
