EpisodeNr,RescuedRatio,TornsRatio,BoredomRatio,TimeInActions,TotalReward
1,0.0667,0.1247,0.1491,238.2125,221.6670
2,0.0333,0.1354,0.1434,234.6714,252.8477
3,0.0222,0.1296,0.1286,242.1483,284.5843
4,0.0167,0.1275,0.1307,239.5432,280.9679
5,0.0267,0.1046,0.1174,234.0916,243.0467
6,0.0351,0.1045,0.1222,209.8813,239.0962
7,0.0381,0.1048,0.1278,212.5668,257.9296
8,0.0333,0.1016,0.1215,197.9839,250.6444
9,0.0323,0.0887,0.1050,189.8613,237.4520
10,0.0291,0.0960,0.1093,181.3441,218.5520
11,0.0264,0.0944,0.1070,169.9311,213.2783
12,0.0286,0.0913,0.1045,164.7736,215.8827
13,0.0286,0.0968,0.1135,175.4383,230.6694
14,0.0307,0.0972,0.1153,172.3386,231.1711
15,0.0286,0.0978,0.1144,154.9277,205.6540
16,0.0268,0.0990,0.1154,153.7297,205.6949
17,0.0259,0.0982,0.1124,154.1425,211.8605
18,0.0244,0.0991,0.1119,152.7692,218.6544
19,0.0254,0.0939,0.1079,150.5138,223.1315
20,0.0260,0.0970,0.1101,148.6329,228.9760
21,0.0248,0.0981,0.1102,151.0883,229.9941
22,0.0237,0.0988,0.1112,145.0382,223.6781
23,0.0226,0.0947,0.1064,158.4009,242.1081
24,0.0217,0.0944,0.1057,155.4343,243.3967
25,0.0208,0.0919,0.1026,161.0228,249.8266
26,0.0193,0.0880,0.0994,160.1534,253.0843
27,0.0193,0.0859,0.0980,160.5725,262.2272
28,0.0193,0.0845,0.0972,160.3005,259.7149
29,0.0186,0.0833,0.0944,164.2141,268.8558
30,0.0174,0.0806,0.0914,163.7842,281.9617
31,0.0144,0.0841,0.0926,162.5349,284.0252
32,0.0137,0.0855,0.0921,157.5821,278.8464
33,0.0137,0.0844,0.0912,164.1419,290.8854
34,0.0116,0.0898,0.0945,172.6349,304.5592
35,0.0124,0.0883,0.0931,179.2945,325.5574
36,0.0124,0.0899,0.0942,189.4843,336.0184
37,0.0116,0.0876,0.0915,196.3976,354.4593
38,0.0098,0.0909,0.0920,186.4948,343.4134
39,0.0068,0.0929,0.0941,190.0036,355.3522
40,0.0094,0.0929,0.0955,208.2549,386.3984
41,0.0094,0.0958,0.0974,210.5998,385.8403
42,0.0090,0.0993,0.0989,219.6852,396.7201
43,0.0090,0.0975,0.0968,235.0513,414.9297
44,0.0107,0.1013,0.0997,235.5318,413.6363
45,0.0107,0.0978,0.0959,234.5435,413.6149
46,0.0094,0.0992,0.0976,237.8639,422.2922
47,0.0088,0.1030,0.1017,240.4349,427.8833
48,0.0108,0.0997,0.0983,237.3863,422.0187
49,0.0152,0.1056,0.1009,249.5557,432.2183
50,0.0176,0.1030,0.0986,246.5498,442.9175
51,0.0176,0.1051,0.1014,247.6278,454.1826
52,0.0176,0.0971,0.0945,249.1919,465.0922
53,0.0200,0.0914,0.0871,255.7419,480.4181
54,0.0225,0.0862,0.0854,248.3944,485.7151
55,0.0229,0.0845,0.0811,247.0375,492.1638
56,0.0229,0.0823,0.0810,256.1144,500.7791
57,0.0255,0.0704,0.0750,265.7130,515.6518
58,0.0251,0.0722,0.0754,265.9857,517.1518
59,0.0276,0.0728,0.0773,265.0025,527.4127
60,0.0276,0.0730,0.0779,269.2637,536.7780
61,0.0300,0.0695,0.0777,273.3177,549.3940
62,0.0300,0.0646,0.0741,265.5407,540.2207
63,0.0300,0.0603,0.0698,275.7997,555.4112
64,0.0325,0.0630,0.0738,283.6738,574.0774
65,0.0297,0.0614,0.0709,277.2650,560.8749
66,0.0348,0.0595,0.0738,291.5538,591.0171
67,0.0346,0.0564,0.0675,291.9652,589.9655
68,0.0371,0.0582,0.0702,283.8115,578.4872
69,0.0376,0.0551,0.0704,294.4482,591.7060
70,0.0350,0.0563,0.0738,293.7593,597.5852
71,0.0359,0.0580,0.0771,290.6641,598.3453
