Idx,ActionNr,Rescued
1,5481.0000,
2,10963.0000,
3,16444.0000,
4,21925.0000,
5,27407.0000,
6,32888.0000,
7,38369.0000,
8,43851.0000,
9,49332.0000,
10,54813.0000,
11,60294.0000,
12,65776.0000,
13,71257.0000,
14,76738.0000,
15,82220.0000,
16,87701.0000,
17,93182.0000,
18,98664.0000,
19,104145.0000,
20,109626.0000,
21,115108.0000,
22,120589.0000,
23,126070.0000,
24,131552.0000,
25,137033.0000,
26,142514.0000,
27,147996.0000,
28,153477.0000,
29,158958.0000,
30,164439.0000,
31,169921.0000,
32,175402.0000,
33,180883.0000,
34,186365.0000,
35,191846.0000,
36,197327.0000,
37,202809.0000,350.0000
38,208290.0000,372.9000
39,213771.0000,399.2000
40,219253.0000,428.8000
41,224734.0000,464.3000
42,230215.0000,500.5000
43,235697.0000,537.0000
44,241178.0000,576.6000
45,246659.0000,617.2000
46,252140.0000,664.6000
47,257622.0000,717.6000
48,263103.0000,775.3000
49,268584.0000,834.1000
50,274066.0000,892.9000
51,279547.0000,952.3000
52,285028.0000,1010.7000
53,290510.0000,1073.6000
54,295991.0000,1136.8000
55,301472.0000,1203.2000
56,306954.0000,1273.3000
57,312435.0000,1342.1000
58,317916.0000,1417.9000
59,323398.0000,1499.6000
60,328879.0000,1580.7000
61,334360.0000,1660.9000
62,339842.0000,1737.1000
63,345323.0000,1817.0000
64,350804.0000,1896.2000
65,356285.0000,1972.2000
66,361767.0000,2054.3000
67,367248.0000,2136.8000
68,372729.0000,2224.0000
69,378211.0000,2309.0000
70,383692.0000,2397.9000
71,389173.0000,2494.0000
72,394655.0000,2596.8000
73,400136.0000,2698.3000
74,405617.0000,2793.1000
75,411099.0000,2890.4000
76,416580.0000,2992.3000
77,422061.0000,3098.0000
78,427543.0000,3205.6000
79,433024.0000,3320.4000
80,438505.0000,3443.5000
81,443987.0000,3568.6000
82,449468.0000,3696.2000
83,454949.0000,3826.1000
84,460430.0000,3952.7000
85,465912.0000,4081.2000
86,471393.0000,4213.3000
87,476874.0000,4349.2000
88,482356.0000,4489.8000
89,487837.0000,4626.2000
90,493318.0000,4762.5000
91,498800.0000,4910.4000
92,504281.0000,5056.9000
93,509762.0000,5214.2000
94,515244.0000,5365.8000
95,520725.0000,5516.8000
96,526206.0000,5673.3000
97,531688.0000,5828.9000
98,537169.0000,5982.8000
99,542650.0000,6135.7000
100,548132.0000,6294.2000
101,553613.0000,6455.7000
102,559094.0000,6619.0000
103,564575.0000,6784.2000
104,570057.0000,6944.8000
105,575538.0000,7114.0000
106,581019.0000,7291.9000
107,586501.0000,7464.3000
108,591982.0000,7638.0000
109,597463.0000,7813.4000
110,602945.0000,7997.1000
111,608426.0000,8178.0000
112,613907.0000,8358.3000
113,619389.0000,8534.6000
114,624870.0000,8717.4000
115,630351.0000,8900.2000
116,635833.0000,9084.2000
117,641314.0000,9267.8000
118,646795.0000,9454.8000
119,652276.0000,9640.6000
120,657758.0000,9829.5000
121,663239.0000,10016.9000
122,668720.0000,10205.5000
123,674202.0000,10395.8000
124,679683.0000,10587.4000
125,685164.0000,10773.6000
126,690646.0000,10968.2000
127,696127.0000,11160.0000
128,701608.0000,11346.9000
129,707090.0000,11537.2000
130,712571.0000,11728.0000
131,718052.0000,11922.8000
132,723534.0000,12114.7000
133,729015.0000,12304.7000
134,734496.0000,12497.2000
135,739978.0000,12694.3000
136,745459.0000,12892.9000
137,750940.0000,13094.6000
138,756421.0000,13299.6000
139,761903.0000,13500.4000
140,767384.0000,13702.6000
141,772865.0000,13908.2000
142,778347.0000,14121.5000
143,783828.0000,14335.7000
144,789309.0000,14555.3000
145,794791.0000,14770.7000
146,800272.0000,14985.3000
147,805753.0000,15201.1000
148,811235.0000,15420.3000
149,816716.0000,15631.8000
150,822197.0000,15840.8000
151,827679.0000,16053.9000
152,833160.0000,16264.7000
153,838641.0000,16480.6000
154,844123.0000,16701.4000
155,849604.0000,16923.3000
156,855085.0000,17147.0000
157,860566.0000,17371.8000
158,866048.0000,17594.8000
159,871529.0000,17823.3000
160,877010.0000,18051.3000
161,882492.0000,18284.4000
162,887973.0000,18513.8000
163,893454.0000,18746.2000
164,898936.0000,18976.9000
165,904417.0000,19184.6000
166,909898.0000,19391.5000
167,915380.0000,19600.6000
168,920861.0000,19809.0000
169,926342.0000,20016.1000
170,931824.0000,20224.9000
171,937305.0000,20414.8000
172,942786.0000,20593.3000
173,948267.0000,20752.4000
174,953749.0000,20910.2000
175,959230.0000,21070.0000
176,964711.0000,21211.2000
177,970193.0000,21349.6000
178,975674.0000,21486.6000
179,981155.0000,21610.6000
180,986637.0000,21722.0000
181,992118.0000,21827.3000
182,997599.0000,21914.5000
183,1003081.0000,22003.1000
184,1008562.0000,22090.4000
185,1014043.0000,22179.2000
186,1019525.0000,22257.1000
187,1025006.0000,22321.3000
188,1030487.0000,22360.7000
189,1035969.0000,22399.8000
190,1041450.0000,22441.1000
191,1046931.0000,22480.0000
192,1052412.0000,22521.8000
193,1057894.0000,22562.0000
194,1063375.0000,22603.4000
195,1068856.0000,22645.3000
196,1074338.0000,22685.9000
197,1079819.0000,22726.7000
198,1085300.0000,22768.5000
199,1090782.0000,22801.4000
200,1096263.0000,22825.0000
