Idx,ActionNr,Rescued
1,0.0000,6.0000
2,0.0000,9.5582
3,0.0000,10.2665
4,0.0000,7.3546
5,0.0000,9.7980
6,0.0000,10.4235
7,0.0000,9.8000
8,0.0000,9.9705
9,0.0000,12.3110
10,0.0000,9.8265
11,0.0000,12.1078
12,0.0000,12.1012
13,0.0000,11.7750
14,0.0000,13.0752
15,0.0000,14.4069
16,0.0000,15.2197
17,0.0000,18.8629
18,0.0000,19.2668
19,0.0000,19.7018
20,0.0000,19.8796
21,0.0000,20.6458
22,0.0000,23.5550
23,0.0000,23.1000
24,0.0000,25.1682
25,0.0000,27.1406
26,0.0000,29.8235
27,0.0000,31.5216
28,0.0000,32.3668
29,0.0000,32.2275
30,0.0000,30.0847
31,0.0000,29.9907
32,0.0000,28.2958
33,0.0000,31.7515
34,0.0000,34.0630
35,0.0000,35.2284
36,0.0000,34.6296
37,0.0000,34.3746
38,0.0000,37.9531
39,0.0000,35.6982
40,0.0000,38.0196
41,0.0000,38.9206
42,0.0000,37.9005
43,0.0000,38.1954
44,0.0000,41.7392
45,0.0000,41.2418
46,0.0000,40.1100
47,0.0000,42.7322
48,0.0000,43.3202
49,0.0000,43.7995
50,0.0000,44.1299
51,0.0000,45.2398
52,0.0000,47.6446
53,0.0000,49.7791
54,0.0000,51.8251
55,0.0000,50.6064
56,0.0000,48.5449
57,0.0000,50.9255
58,0.0000,50.5973
59,0.0000,50.0385
60,0.0000,52.4694
61,0.0000,50.8450
62,0.0000,46.4178
63,0.0000,47.5483
64,0.0000,48.5650
65,0.0000,49.4142
66,0.0000,48.6761
67,0.0000,48.0426
68,0.0000,46.5747
69,0.0000,48.1295
70,0.0000,48.3301
71,0.0000,49.2005
72,0.0000,47.7824
73,0.0000,47.6056
74,0.0000,47.0553
75,0.0000,50.7643
76,0.0000,52.3507
77,0.0000,52.0945
78,0.0000,50.1646
79,0.0000,51.0290
80,0.0000,50.0080
81,0.0000,47.8836
82,0.0000,47.7955
83,0.0000,46.7461
84,0.0000,45.1801
85,0.0000,42.8001
86,0.0000,43.5919
87,0.0000,46.4768
88,0.0000,46.5542
89,0.0000,43.7653
90,0.0000,43.7430
91,0.0000,43.7288
92,0.0000,46.7146
93,0.0000,47.0829
94,0.0000,50.2987
95,0.0000,51.4902
96,0.0000,54.0741
97,0.0000,54.4136
98,0.0000,55.6241
99,0.0000,58.6090
100,0.0000,57.3447
101,0.0000,60.4106
102,0.0000,59.6950
103,0.0000,60.8848
104,0.0000,58.2889
105,0.0000,57.1969
106,0.0000,55.9669
107,0.0000,54.5477
108,0.0000,55.0626
109,0.0000,58.4760
110,0.0000,59.1480
111,0.0000,58.3304
112,0.0000,59.8936
113,0.0000,59.0462
114,0.0000,59.9290
115,0.0000,61.5361
116,0.0000,64.8945
117,0.0000,65.7255
118,0.0000,67.6695
119,0.0000,68.7681
120,0.0000,70.4398
121,0.0000,69.8104
122,0.0000,70.4099
123,0.0000,67.8439
124,0.0000,70.5127
125,0.0000,71.9992
126,0.0000,70.2142
127,0.0000,69.5403
128,0.0000,70.3181
129,0.0000,69.2159
130,0.0000,68.7346
131,0.0000,67.3321
132,0.0000,67.0359
133,0.0000,70.4415
134,0.0000,68.4573
135,0.0000,66.8402
136,0.0000,66.4515
137,0.0000,65.8566
138,0.0000,64.5431
139,0.0000,62.8891
140,0.0000,67.1810
141,0.0000,66.2707
142,0.0000,66.5364
143,0.0000,68.1681
144,0.0000,70.3338
145,0.0000,72.3270
146,0.0000,71.3075
147,0.0000,73.0605
148,0.0000,73.3818
149,0.0000,73.2290
150,0.0000,71.8919
151,0.0000,73.0206
152,0.0000,74.4251
153,0.0000,75.4234
154,0.0000,76.3581
155,0.0000,78.6209
156,0.0000,78.8929
157,0.0000,82.9060
158,0.0000,79.5249
159,0.0000,75.4398
160,0.0000,75.2211
161,0.0000,73.6696
162,0.0000,74.2852
163,0.0000,75.8185
164,0.0000,79.5075
165,0.0000,78.4829
166,0.0000,79.3567
167,0.0000,81.2881
168,0.0000,80.5298
169,0.0000,83.3168
170,0.0000,83.0699
171,0.0000,82.0083
172,0.0000,82.5754
173,0.0000,81.6263
174,0.0000,84.9786
175,0.0000,85.9198
176,0.0000,84.5366
177,0.0000,81.9310
178,0.0000,79.5480
179,0.0000,80.5847
180,0.0000,81.2084
181,0.0000,82.9684
182,0.0000,83.9226
183,0.0000,80.6042
184,0.0000,83.9164
185,0.0000,84.1656
186,0.0000,83.0612
187,0.0000,85.0165
188,0.0000,83.1325
189,0.0000,83.2877
190,0.0000,84.4272
191,0.0000,83.4542
192,0.0000,78.4697
193,0.0000,77.3796
194,0.0000,76.5076
195,0.0000,78.8862
196,0.0000,79.5864
197,0.0000,77.7872
198,0.0000,81.4764
199,0.0000,85.1716
200,0.0000,86.3745
