EpisodeNr,RescuedRatio,TornsRatio,BoredomRatio,TimeInActions,TotalReward
1,0.0167,0.8333,0.1500,96.9000,-364.1000
2,0.0167,0.8250,0.1583,96.7000,-363.9000
3,0.0222,0.8222,0.1556,96.4000,-363.6000
4,0.0208,0.8167,0.1625,96.6250,-362.3250
5,0.0267,0.8200,0.1533,95.7600,-359.3600
6,0.0250,0.8194,0.1556,95.3167,-359.5167
7,0.0262,0.8190,0.1548,94.8429,-359.0429
8,0.0271,0.8208,0.1521,94.7625,-358.6000
9,0.0278,0.8204,0.1519,94.4111,-357.2889
10,0.0267,0.8200,0.1533,94.7300,-356.8400
11,0.0273,0.8212,0.1515,94.3455,-356.3727
12,0.0264,0.8222,0.1514,94.1167,-356.0750
13,0.0256,0.8244,0.1500,93.8538,-355.9923
14,0.0286,0.8250,0.1464,93.5786,-354.8929
15,0.0311,0.8256,0.1433,93.3867,-354.1067
16,0.0302,0.8281,0.1417,93.2125,-354.1500
17,0.0304,0.8314,0.1382,92.6412,-352.9118
18,0.0324,0.8352,0.1324,92.3889,-352.4500
19,0.0325,0.8360,0.1316,92.3158,-351.8105
20,0.0325,0.8358,0.1317,92.1800,-351.6150
21,0.0325,0.8365,0.1310,91.9286,-351.3095
22,0.0326,0.8386,0.1288,91.5045,-350.5682
23,0.0341,0.8399,0.1261,91.2304,-350.0000
24,0.0333,0.8417,0.1250,90.8667,-349.4917
25,0.0333,0.8433,0.1233,90.5520,-348.6840
26,0.0333,0.8460,0.1207,89.8920,-347.6680
27,0.0340,0.8487,0.1173,89.2720,-346.7440
28,0.0333,0.8513,0.1153,88.5920,-346.0040
29,0.0347,0.8533,0.1120,88.0240,-345.1640
30,0.0333,0.8540,0.1127,87.6160,-345.0160
31,0.0340,0.8587,0.1073,86.9160,-344.0960
32,0.0347,0.8607,0.1047,86.5440,-343.5040
33,0.0340,0.8633,0.1027,86.0760,-343.1720
34,0.0333,0.8660,0.1007,85.7920,-343.1440
35,0.0327,0.8693,0.0980,85.0360,-342.6480
36,0.0320,0.8740,0.0940,84.5360,-342.2240
37,0.0320,0.8773,0.0907,84.1520,-342.1000
38,0.0320,0.8813,0.0867,83.7440,-341.7080
39,0.0300,0.8840,0.0860,83.4360,-341.6000
40,0.0273,0.8880,0.0847,83.0080,-341.6680
41,0.0267,0.8907,0.0827,82.7720,-341.4560
42,0.0260,0.8927,0.0813,82.7640,-341.6280
43,0.0233,0.8947,0.0820,82.4800,-341.5560
44,0.0227,0.8980,0.0793,82.1720,-341.5080
45,0.0213,0.9027,0.0760,81.9280,-341.6440
46,0.0200,0.9073,0.0727,81.7520,-341.6080
47,0.0187,0.9107,0.0707,81.6240,-341.8440
