Idx,ActionNr,Rescued
1,0.0000,
2,0.0000,25.8488
3,0.0000,32.6572
4,0.0000,43.7997
5,0.0000,53.1704
6,0.0000,65.0400
7,0.0000,72.8626
8,0.0000,79.1755
9,0.0000,88.4460
10,0.0000,97.6791
11,0.0000,104.9297
12,0.0000,110.7388
13,0.0000,116.4322
14,0.0000,123.3749
15,0.0000,132.7238
16,0.0000,138.8979
17,0.0000,139.3699
18,0.0000,144.8482
19,0.0000,156.8070
20,0.0000,175.1570
21,0.0000,188.7831
22,0.0000,198.8062
23,0.0000,210.4436
24,0.0000,216.0302
25,0.0000,225.4473
26,0.0000,236.3735
27,0.0000,247.5695
28,0.0000,260.0118
29,0.0000,271.5242
30,0.0000,280.1578
31,0.0000,287.1014
32,0.0000,293.8579
33,0.0000,297.8519
34,0.0000,306.3906
35,0.0000,321.0655
36,0.0000,330.9100
37,0.0000,344.3995
38,0.0000,348.0973
39,0.0000,351.3178
40,0.0000,358.0258
41,0.0000,365.2651
42,0.0000,371.1316
43,0.0000,369.8771
44,0.0000,375.9836
45,0.0000,381.4391
46,0.0000,387.4494
47,0.0000,390.8975
48,0.0000,405.8452
49,0.0000,409.5237
50,0.0000,409.0687
51,0.0000,420.4217
52,0.0000,435.9985
53,0.0000,446.4242
54,0.0000,448.9334
55,0.0000,454.8050
56,0.0000,461.6724
57,0.0000,460.1871
58,0.0000,462.0719
59,0.0000,468.1498
60,0.0000,473.4960
61,0.0000,477.3711
62,0.0000,483.8733
63,0.0000,483.9651
64,0.0000,483.8601
65,0.0000,488.2051
66,0.0000,492.4766
67,0.0000,490.9304
68,0.0000,492.4286
69,0.0000,489.2768
70,0.0000,487.9006
71,0.0000,488.9439
72,0.0000,484.3982
73,0.0000,470.5249
74,0.0000,465.3661
75,0.0000,472.1366
76,0.0000,478.8251
77,0.0000,484.0541
78,0.0000,493.4041
79,0.0000,493.8263
80,0.0000,503.6403
81,0.0000,515.4105
82,0.0000,521.2938
83,0.0000,531.0740
84,0.0000,542.4711
85,0.0000,548.3419
86,0.0000,551.0336
87,0.0000,556.9675
88,0.0000,562.1586
89,0.0000,570.1995
90,0.0000,576.8757
91,0.0000,579.6825
92,0.0000,588.0404
93,0.0000,584.3812
94,0.0000,586.5420
95,0.0000,593.6548
96,0.0000,602.8484
97,0.0000,597.6652
98,0.0000,600.7929
99,0.0000,603.1693
100,0.0000,610.5031
101,0.0000,608.8795
102,0.0000,603.8288
103,0.0000,602.9266
104,0.0000,613.3865
105,0.0000,623.1752
106,0.0000,629.4303
107,0.0000,628.8555
108,0.0000,638.6437
109,0.0000,644.2385
110,0.0000,652.6208
111,0.0000,654.5342
112,0.0000,653.3990
113,0.0000,662.0260
114,0.0000,672.2038
115,0.0000,675.8648
116,0.0000,677.3140
117,0.0000,671.3210
118,0.0000,671.4169
119,0.0000,676.9716
120,0.0000,678.0347
121,0.0000,679.9016
122,0.0000,679.6132
123,0.0000,676.5148
124,0.0000,672.7369
125,0.0000,678.9100
126,0.0000,683.5072
127,0.0000,698.2597
128,0.0000,718.4172
129,0.0000,737.1992
130,0.0000,746.9678
131,0.0000,746.8076
132,0.0000,749.5490
133,0.0000,760.5636
134,0.0000,760.4260
135,0.0000,756.5296
136,0.0000,757.9223
137,0.0000,765.0506
138,0.0000,777.1833
139,0.0000,775.1062
140,0.0000,768.5804
141,0.0000,767.4102
142,0.0000,765.9371
143,0.0000,770.3124
144,0.0000,783.1198
145,0.0000,784.0681
146,0.0000,786.0345
147,0.0000,781.4874
148,0.0000,777.2344
149,0.0000,776.6540
150,0.0000,778.2933
151,0.0000,785.0993
152,0.0000,794.1926
153,0.0000,804.4278
154,0.0000,810.5113
155,0.0000,817.7756
156,0.0000,818.8898
157,0.0000,821.6317
158,0.0000,838.9698
159,0.0000,849.1918
160,0.0000,854.9225
161,0.0000,852.2686
162,0.0000,863.6955
163,0.0000,865.5500
164,0.0000,867.1666
165,0.0000,867.5841
166,0.0000,875.7346
167,0.0000,883.2891
168,0.0000,888.8678
169,0.0000,893.8576
170,0.0000,898.9531
171,0.0000,901.8421
172,0.0000,912.9207
173,0.0000,915.2000
174,0.0000,922.7819
175,0.0000,928.3437
176,0.0000,923.2560
177,0.0000,925.8512
178,0.0000,930.9696
179,0.0000,950.7519
180,0.0000,983.6561
181,0.0000,1014.1505
182,0.0000,1033.7146
183,0.0000,1058.2762
184,0.0000,1082.1362
185,0.0000,1106.8909
186,0.0000,1125.6602
187,0.0000,1140.8944
188,0.0000,1158.3789
189,0.0000,1184.8004
190,0.0000,1217.6731
191,0.0000,1231.7341
192,0.0000,1245.5019
193,0.0000,1262.2104
194,0.0000,1284.9539
195,0.0000,1298.8051
196,0.0000,1311.5882
197,0.0000,1323.4716
198,0.0000,1341.0067
199,0.0000,1360.6147
200,0.0000,1381.1504
