Idx,ActionNr,Rescued
1,131401.0000,3.9000
2,262802.0000,18.3000
3,394202.0000,38.2000
4,525603.0000,61.4000
5,657004.0000,101.6000
6,788405.0000,141.0000
7,919805.0000,183.8000
8,1051206.0000,231.1000
9,1182607.0000,279.0000
10,1314008.0000,341.6000
11,1445409.0000,413.5000
12,1576809.0000,481.8000
13,1708210.0000,560.9000
14,1839611.0000,664.3000
15,1971012.0000,782.0000
16,2102413.0000,929.0000
17,2233813.0000,1068.7000
18,2365214.0000,1208.3000
19,2496615.0000,1395.0000
20,2628016.0000,1599.4000
21,2759416.0000,1824.7000
22,2890817.0000,2084.0000
23,3022218.0000,2380.8000
24,3153619.0000,2678.4000
25,3285020.0000,2997.7000
26,3416420.0000,3312.7000
27,3547821.0000,3665.3000
28,3679222.0000,4067.8000
29,3810623.0000,4475.9000
30,3942024.0000,4917.7000
31,4073424.0000,5385.2000
32,4204825.0000,5832.3000
33,4336226.0000,6347.1000
34,4467627.0000,6887.2000
35,4599027.0000,7417.7000
36,4730428.0000,7997.7000
37,4861829.0000,8599.8000
38,4993230.0000,9219.8000
39,5124631.0000,9859.2000
40,5256031.0000,10503.4000
41,5387432.0000,11157.1000
42,5518833.0000,11848.1000
43,5650234.0000,12562.6000
44,5781635.0000,13307.0000
45,5913035.0000,14089.3000
46,6044436.0000,14896.2000
47,6175837.0000,15712.3000
48,6307238.0000,16501.0000
49,6438638.0000,17293.5000
50,6570039.0000,18073.9000
51,6701440.0000,18910.0000
52,6832841.0000,19767.9000
53,6964242.0000,20678.6000
54,7095642.0000,21584.4000
55,7227043.0000,22509.7000
56,7358444.0000,23412.9000
57,7489845.0000,24359.0000
58,7621246.0000,25345.9000
59,7752646.0000,26340.6000
60,7884047.0000,27375.9000
61,8015448.0000,28403.5000
62,8146849.0000,29443.6000
63,8278249.0000,30528.3000
64,8409650.0000,31581.9000
65,8541051.0000,32645.3000
66,8672452.0000,33707.1000
67,8803853.0000,34761.9000
68,8935253.0000,35902.8000
69,9066654.0000,37019.9000
70,9198055.0000,38184.2000
71,9329456.0000,39307.1000
72,9460857.0000,40444.2000
73,9592257.0000,41600.6000
74,9723658.0000,42779.0000
75,9855059.0000,43868.7000
76,9986460.0000,45021.3000
77,10117860.0000,46158.8000
78,10249261.0000,47282.5000
79,10380662.0000,48500.0000
80,10512063.0000,49703.9000
81,10643464.0000,50846.4000
82,10774864.0000,52001.2000
83,10906265.0000,53142.5000
84,11037666.0000,54340.3000
85,11169067.0000,55547.2000
86,11300468.0000,56785.8000
87,11431868.0000,58024.6000
88,11563269.0000,59221.0000
89,11694670.0000,60377.5000
90,11826071.0000,61524.6000
91,11957471.0000,62718.3000
92,12088872.0000,63958.3000
93,12220273.0000,65184.3000
94,12351674.0000,66331.3000
95,12483075.0000,67528.6000
96,12614475.0000,68791.5000
