EpisodeNr,RescuedRatio,TornsRatio,BoredomRatio,TimeInActions,TotalReward
1,0.0000,0.1333,0.8667,7257.7000,-12652.3000
2,0.0000,0.1167,0.8833,7303.2000,-12697.8000
3,0.0000,0.1667,0.8333,7272.2000,-12665.0000
4,0.0167,0.1333,0.8500,7266.1000,-12659.3500
5,0.0000,0.1000,0.9000,7240.8400,-12634.3600
6,0.0000,0.2333,0.7667,7193.0000,-12586.7000
7,0.0000,0.0833,0.9167,7151.6429,-12543.1571
8,0.0167,0.1667,0.8167,7109.5000,-12501.4000
9,0.0000,0.2500,0.7500,7062.2000,-12454.4000
10,0.0000,0.1500,0.8500,7019.9400,-12412.3800
11,0.0000,0.2000,0.8000,6945.7400,-12338.1800
12,0.0000,0.1167,0.8833,6857.7800,-12249.6800
13,0.0000,0.2167,0.7833,6787.1200,-12179.0200
14,0.0000,0.1833,0.8167,6699.4000,-12090.2200
15,0.0167,0.2333,0.7500,6613.5000,-12003.2400
16,0.0167,0.2167,0.7667,6553.7000,-11943.4400
17,0.0000,0.2167,0.7833,6489.7900,-11880.0700
18,0.0333,0.3333,0.6333,6420.2200,-11808.3400
19,0.0167,0.2333,0.7500,6370.3700,-11758.4900
20,0.0167,0.2833,0.7000,6320.2100,-11707.7900
21,0.0000,0.2667,0.7333,6272.1200,-11657.5400
22,0.0000,0.2833,0.7167,6224.1900,-11609.0700
23,0.0000,0.2667,0.7333,6166.2900,-11549.5500
24,0.0000,0.3167,0.6833,6108.4700,-11491.7300
25,0.0000,0.3333,0.6667,6063.8400,-11444.9400
26,0.0000,0.2833,0.7167,5998.0700,-11377.5500
27,0.0000,0.3167,0.6833,5948.8900,-11328.3700
28,0.0000,0.3000,0.7000,5916.0500,-11293.3700
29,0.0000,0.2833,0.7167,5860.2900,-11235.4500
30,0.0000,0.3167,0.6833,5815.8400,-11187.7600
31,0.0167,0.2833,0.7000,5786.2800,-11156.0400
32,0.0000,0.3333,0.6667,5757.6100,-11124.6700
33,0.0000,0.2500,0.7500,5729.8800,-11093.7000
34,0.0000,0.3667,0.6333,5713.7400,-11074.8600
35,0.0000,0.4167,0.5833,5688.2600,-11050.4600
36,0.0000,0.3667,0.6333,5671.0600,-11032.7200
37,0.0000,0.3500,0.6500,5639.7600,-10999.8000
38,0.0000,0.3667,0.6333,5608.7200,-10970.9200
39,0.0000,0.3667,0.6333,5590.1400,-10951.8000
40,0.0000,0.3667,0.6333,5558.3100,-10920.5100
41,0.0000,0.3500,0.6500,5528.4300,-10891.1700
42,0.0000,0.3833,0.6167,5494.2500,-10858.0700
43,0.0000,0.4333,0.5667,5454.7300,-10820.1700
44,0.0000,0.3667,0.6333,5416.7900,-10783.3100
45,0.0000,0.4000,0.6000,5389.5600,-10755.5400
46,0.0000,0.3333,0.6667,5365.3700,-10729.1900
47,0.0167,0.3667,0.6167,5357.1000,-10718.2200
48,0.0000,0.3333,0.6667,5341.6900,-10701.1900
49,0.0000,0.3333,0.6667,5325.6100,-10682.4100
50,0.0000,0.3667,0.6333,5313.6600,-10669.3800
51,0.0000,0.3833,0.6167,5292.6600,-10647.8400
52,0.0000,0.3500,0.6500,5292.0700,-10646.7100
53,0.0000,0.3333,0.6667,5298.4400,-10654.7000
54,0.0000,0.3667,0.6333,5286.6000,-10641.7800
55,0.0000,0.3833,0.6167,5273.1000,-10627.2000
56,0.0000,0.3500,0.6500,5260.2900,-10614.3900
57,0.0000,0.4167,0.5833,5234.6100,-10590.3300
58,0.0000,0.3333,0.6667,5216.2600,-10571.4400
59,0.0000,0.3500,0.6500,5209.6200,-10568.0400
60,0.0000,0.3667,0.6333,5215.5000,-10573.9200
61,0.0000,0.3833,0.6167,5207.1800,-10563.9800
62,0.0000,0.3500,0.6500,5180.4300,-10536.1500
63,0.0000,0.4167,0.5833,5168.4100,-10522.5100
64,0.0167,0.3167,0.6667,5178.1000,-10532.7400
65,0.0000,0.3833,0.6167,5169.9000,-10523.4600
66,0.0000,0.3833,0.6167,5160.1400,-10514.2400
67,0.0000,0.4667,0.5333,5156.5000,-10511.1400
68,0.0000,0.4167,0.5833,5146.9100,-10502.0900
69,0.0000,0.5333,0.4667,5126.3700,-10481.5500
70,0.0000,0.4667,0.5333,5107.8600,-10463.5800
71,0.0000,0.5000,0.5000,5101.9200,-10460.3400
72,0.0000,0.3500,0.6500,5103.0700,-10462.5700
73,0.0000,0.3667,0.6333,5102.4500,-10462.4900
74,0.0000,0.4500,0.5500,5090.8800,-10450.3800
