EpisodeNr,RescuedRatio,TornsRatio,BoredomRatio,TimeInActions,TotalReward
1,0.0000,0.1000,0.1000,195.4600,190.8471
2,0.0000,0.1067,0.1067,157.1057,153.6740
3,0.0000,0.1972,0.1972,145.3041,144.4767
4,0.0500,0.1453,0.1384,153.3547,151.8741
5,0.0000,0.0816,0.0816,162.9356,163.7396
6,0.0000,0.1106,0.1106,156.3780,158.5979
7,0.0000,0.1118,0.1118,150.8743,152.0652
8,0.0500,0.1291,0.1384,151.7370,153.8658
9,0.0000,0.1537,0.1537,153.0641,154.4957
10,0.0000,0.1384,0.1384,158.1075,159.5004
11,0.0000,0.1247,0.1247,155.2191,157.5202
12,0.0000,0.1302,0.1302,171.6374,173.9623
13,0.0000,0.1302,0.1302,183.8783,187.6879
14,0.0000,0.1572,0.1572,189.6512,194.2404
15,0.0500,0.1106,0.1118,189.5479,194.3774
16,0.0500,0.1500,0.1528,195.9371,200.7770
17,0.0000,0.1500,0.1500,203.1836,208.1280
18,0.0667,0.1972,0.1633,218.4017,224.8669
19,0.0500,0.1528,0.1344,221.1334,228.7436
20,0.0500,0.1979,0.1944,211.2607,218.8854
21,0.0000,0.1528,0.1528,216.1772,223.8856
22,0.0000,0.1067,0.1067,215.2154,222.2940
23,0.0000,0.1333,0.1333,207.5946,212.0483
24,0.0000,0.1384,0.1384,212.3130,214.9773
25,0.0000,0.1291,0.1291,214.8433,215.8089
26,0.0000,0.1833,0.1833,214.8176,215.8537
27,0.0000,0.1167,0.1167,215.7480,218.7814
28,0.0000,0.1000,0.1000,212.9889,217.1650
29,0.0000,0.1500,0.1500,211.3252,214.4062
30,0.0000,0.1167,0.1167,220.4758,225.5833
31,0.0500,0.1067,0.1247,227.0621,231.0262
32,0.0000,0.1291,0.1291,231.3314,238.3974
33,0.0000,0.1118,0.1118,245.9520,255.3250
34,0.0000,0.1453,0.1453,241.6045,250.5654
35,0.0000,0.1344,0.1344,256.9194,265.7911
36,0.0000,0.2082,0.2082,265.0768,272.3802
37,0.0000,0.2291,0.2291,267.1085,271.1806
38,0.0000,0.1944,0.1944,267.6552,268.5111
39,0.0000,0.1795,0.1795,278.9302,278.0407
40,0.0000,0.1633,0.1633,287.8015,287.2733
41,0.0000,0.1572,0.1572,293.3912,293.4300
42,0.0000,0.2242,0.2242,305.7360,306.7267
43,0.0000,0.2261,0.2261,304.8772,307.6960
44,0.0000,0.2333,0.2333,305.0887,309.6525
45,0.0000,0.1856,0.1856,309.3731,312.7010
46,0.0000,0.1291,0.1291,303.3685,307.1688
47,0.0500,0.1453,0.1833,305.0279,308.9066
48,0.0000,0.1972,0.1972,316.8841,321.4054
49,0.0000,0.1291,0.1291,302.7962,309.3142
50,0.0000,0.1633,0.1633,288.3644,294.8224
51,0.0000,0.1500,0.1500,285.5269,294.4819
52,0.0000,0.1893,0.1893,289.3467,297.7532
53,0.0000,0.1667,0.1667,290.2064,297.0344
54,0.0000,0.1453,0.1453,283.0550,291.3614
55,0.0000,0.1833,0.1833,278.3803,285.5468
56,0.0000,0.1572,0.1572,269.3018,275.7940
57,0.0000,0.1708,0.1708,260.1617,265.2745
58,0.0000,0.1826,0.1826,248.3985,253.5070
59,0.0000,0.1572,0.1572,253.5016,260.2788
60,0.0000,0.1944,0.1944,253.9300,259.0182
61,0.0000,0.1302,0.1302,247.2675,249.6919
62,0.0000,0.1740,0.1740,234.2564,239.5562
63,0.0000,0.1344,0.1344,213.3989,220.9731
64,0.0500,0.1384,0.1491,194.7527,202.1665
65,0.0000,0.1833,0.1833,194.2614,204.5075
66,0.0000,0.2115,0.2115,196.3002,204.9800
67,0.0000,0.1795,0.1795,188.3941,193.2928
68,0.0000,0.1863,0.1863,192.5794,189.3784
69,0.0000,0.1944,0.1944,194.5423,188.5939
70,0.0000,0.1944,0.1944,177.3281,167.1932
71,0.0000,0.1491,0.1491,174.7786,165.0852
72,0.0000,0.1893,0.1893,172.0502,159.6465
73,0.0000,0.2211,0.2211,182.0784,167.6050
74,0.0000,0.2115,0.2115,185.1207,170.3309
75,0.0000,0.2333,0.2333,187.7111,173.0921
76,0.0500,0.2693,0.2603,182.6385,170.0375
77,0.0000,0.2814,0.2814,189.6817,173.3686
78,0.0000,0.2082,0.2082,186.2170,170.2298
79,0.0000,0.2267,0.2267,179.0633,161.8963
80,0.0500,0.1700,0.1833,199.5438,184.1835
81,0.0000,0.1979,0.1979,209.8616,193.6902
82,0.0500,0.2007,0.2000,204.6423,189.5591
83,0.0500,0.1863,0.2000,203.9181,185.6425
84,0.0500,0.2000,0.2115,198.1610,177.7714
85,0.0000,0.1528,0.1528,197.5632,178.0512
86,0.0500,0.1979,0.2082,206.8098,191.2847
87,0.0500,0.2134,0.2115,225.3657,213.5445
88,0.0500,0.1528,0.1500,225.2528,218.4199
89,0.0000,0.1979,0.1979,217.5104,209.2479
90,0.0500,0.2363,0.2261,206.5705,201.8575
91,0.0500,0.2587,0.2333,195.6127,189.8294
92,0.0000,0.2478,0.2478,193.5894,184.4019
93,0.0500,0.2211,0.2242,190.6770,178.7052
94,0.0000,0.2242,0.2242,192.1367,182.7687
95,0.0500,0.1675,0.1633,192.8027,183.3168
96,0.0667,0.1537,0.1675,207.9559,198.9591
97,0.0500,0.2291,0.2357,228.5768,224.5551
98,0.0667,0.1856,0.1795,246.0312,245.6152
99,0.0764,0.1979,0.1972,283.3792,284.8705
100,0.0667,0.1833,0.1572,313.6585,316.5552
101,0.0667,0.2494,0.2449,325.4917,330.0536
102,0.0667,0.2167,0.2034,340.5804,343.1681
103,0.0764,0.2667,0.2409,349.3346,356.6375
104,0.0764,0.1167,0.0667,356.2824,364.1238
105,0.0667,0.1708,0.1500,353.4629,363.4911
106,0.0500,0.1491,0.1384,336.9247,349.9370
107,0.0667,0.2380,0.2333,322.9909,339.1919
108,0.0500,0.2115,0.1856,304.6929,322.6083
